,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-12-31,10.85,10.9,10.8,10.8,9.506260000000001,41000
1,2019-01-02,10.85,10.91,10.84,10.86,9.559072,38500
2,2019-01-03,10.84,10.87,10.79,10.79,9.497458,3400
3,2019-01-04,11.0,11.11,11.0,11.06,9.735114,7400
4,2019-01-07,10.96,10.99,10.96,10.98,9.664698,8200
5,2019-01-08,11.03,11.05,10.95,11.05,9.726313000000001,5600
6,2019-01-09,11.18,11.33,11.09,11.24,9.893552,2300
7,2019-01-10,11.13,11.2,11.1,11.1,9.770324,4100
8,2019-01-11,11.29,11.29,11.08,11.1,9.770324,35200
9,2019-01-14,11.1,11.1,11.0,11.05,9.726313000000001,45200
10,2019-01-15,11.17,11.18,11.1,11.12,9.787927,7200
11,2019-01-16,11.34,11.44,11.33,11.42,10.051991000000001,3300
12,2019-01-17,11.35,11.5,11.35,11.45,10.078396000000001,3600
13,2019-01-18,11.48,11.55,11.42,11.53,10.148813,19900
14,2019-01-22,11.23,11.31,11.17,11.2,9.858343,7900
15,2019-01-23,11.39,11.41,11.35,11.35,9.990376,1900
16,2019-01-24,11.45,11.53,11.45,11.53,10.148813,2100
17,2019-01-25,11.85,11.89,11.85,11.88,10.456886,2200
18,2019-01-28,11.7,11.74,11.67,11.71,10.307250999999999,13200
19,2019-01-29,11.81,11.82,11.74,11.78,10.368865,7900
20,2019-01-30,11.72,11.83,11.72,11.78,10.368865,2000
21,2019-01-31,11.76,11.85,11.76,11.85,10.430480000000001,5400
22,2019-02-01,11.76,11.76,11.74,11.74,10.333656,6100
23,2019-02-04,11.6,11.7,11.59,11.63,10.236834,15700
24,2019-02-05,11.77,11.82,11.73,11.81,10.395271000000001,5200
25,2019-02-06,11.75,11.75,11.7,11.74,10.333656,14400
26,2019-02-07,11.68,11.7,11.52,11.59,10.201626,50000
27,2019-02-08,11.49,11.53,11.46,11.5,10.122406,10700
28,2019-02-11,11.84,11.84,11.51,11.54,10.157615,17200
29,2019-02-12,11.66,11.69,11.61,11.61,10.219228999999999,3000
30,2019-02-13,11.73,11.77,11.66,11.72,10.316052,6300
31,2019-02-14,11.52,11.73,11.52,11.66,10.26324,21600
32,2019-02-15,11.69,11.73,11.68,11.7,10.298447999999999,29500
33,2019-02-19,11.92,11.92,11.75,11.78,10.368865,7700
34,2019-02-20,11.76,11.9,11.75,11.82,10.404073,10000
35,2019-02-21,11.9,11.93,11.87,11.89,10.465689,4600
36,2019-02-22,12.01,12.14,11.88,12.04,10.597719,7900
37,2019-02-25,12.0,12.35,12.0,12.23,10.764959,8300
38,2019-02-26,12.11,12.11,12.07,12.07,10.624125,12400
39,2019-02-27,12.01,12.03,11.9,11.94,10.509699000000001,31600
40,2019-02-28,11.96,11.99,11.91,11.95,10.5185,24900
41,2019-03-01,12.03,12.03,11.94,11.97,10.536105000000001,9500
42,2019-03-04,12.07,12.14,12.02,12.05,10.606522,11200
43,2019-03-05,12.2,12.32,12.2,12.3,10.826574,10300
44,2019-03-06,12.15,12.16,12.08,12.12,10.668137,9000
45,2019-03-07,12.0,12.02,11.9,11.96,10.527303,7000
46,2019-03-08,11.72,11.74,11.68,11.73,10.324854,3500
47,2019-03-11,11.78,11.93,11.63,11.84,10.421678,7800
48,2019-03-12,11.86,11.91,11.86,11.88,10.456886,11700
49,2019-03-13,11.86,11.92,11.86,11.92,10.492094999999999,1200
50,2019-03-14,11.76,11.83,11.76,11.8,10.38647,3300
51,2019-03-15,11.85,11.94,11.85,11.89,10.465689,4800
52,2019-03-18,11.88,11.88,11.82,11.85,10.430480000000001,1500
53,2019-03-19,11.89,11.91,11.85,11.88,10.456886,2000
54,2019-03-20,11.75,11.86,11.75,11.86,10.439281,1500
55,2019-03-21,11.41,11.81,11.41,11.71,10.307250999999999,5000
56,2019-03-22,11.65,11.65,11.6,11.65,10.254437,3300
57,2019-03-25,11.79,11.79,11.55,11.6,10.210428,13300
58,2019-03-26,11.54,11.66,11.54,11.63,10.236834,2700
59,2019-03-27,11.6,11.62,11.59,11.62,10.228032,2800
