,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-12-31,17.65,17.65,17.65,17.65,15.538737,0
1,2019-01-02,17.65,17.65,17.65,17.65,15.538737,0
2,2019-01-03,17.65,17.65,17.65,17.65,15.538737,0
3,2019-01-04,17.65,17.65,17.65,17.65,15.538737,0
4,2019-01-07,17.65,17.65,17.65,17.65,15.538737,0
5,2019-01-08,17.65,17.65,17.65,17.65,15.538737,0
6,2019-01-09,17.65,17.65,17.65,17.65,15.538737,0
7,2019-01-10,17.65,17.65,17.65,17.65,15.538737,0
8,2019-01-11,17.65,17.65,17.65,17.65,15.538737,0
9,2019-01-14,17.65,17.65,17.65,17.65,15.538737,0
10,2019-01-15,17.65,17.65,17.65,17.65,15.538737,0
11,2019-01-16,17.65,17.65,17.65,17.65,15.538737,0
12,2019-01-17,17.65,17.65,17.65,17.65,15.538737,0
13,2019-01-18,17.65,17.65,17.65,17.65,15.538737,0
14,2019-01-22,17.65,17.65,17.65,17.65,15.538737,0
15,2019-01-23,17.65,17.65,17.65,17.65,15.538737,0
16,2019-01-24,17.65,17.65,17.65,17.65,15.538737,0
17,2019-01-25,17.65,17.65,17.65,17.65,15.538737,0
18,2019-01-28,17.65,17.65,17.65,17.65,15.538737,0
19,2019-01-29,17.65,17.65,17.65,17.65,15.538737,0
20,2019-01-30,17.65,17.65,17.65,17.65,15.538737,0
21,2019-01-31,17.65,17.65,17.65,17.65,15.538737,0
22,2019-02-01,17.65,17.65,17.65,17.65,15.538737,0
23,2019-02-04,17.65,17.65,17.65,17.65,15.538737,0
24,2019-02-05,17.65,17.65,17.65,17.65,15.538737,0
25,2019-02-06,17.65,17.65,17.65,17.65,15.538737,0
26,2019-02-07,17.65,17.65,17.65,17.65,15.538737,0
27,2019-02-08,17.65,17.65,17.65,17.65,15.538737,0
28,2019-02-11,17.65,17.65,17.65,17.65,15.538737,0
29,2019-02-12,17.65,17.65,17.65,17.65,15.538737,0
30,2019-02-13,17.65,17.65,17.65,17.65,15.538737,0
31,2019-02-14,17.65,17.65,17.65,17.65,15.538737,0
32,2019-02-15,17.65,17.65,17.65,17.65,15.538737,0
33,2019-02-19,17.65,17.65,17.65,17.65,15.538737,0
34,2019-02-20,17.65,17.65,17.65,17.65,15.538737,0
35,2019-02-21,17.65,17.65,17.65,17.65,15.538737,0
36,2019-02-22,17.65,17.65,17.65,17.65,15.538737,0
37,2019-02-25,17.65,17.65,17.65,17.65,15.538737,0
38,2019-02-26,17.65,17.65,17.65,17.65,15.538737,0
39,2019-02-27,17.65,17.65,17.65,17.65,15.538737,0
40,2019-02-28,17.65,17.65,17.65,17.65,15.538737,0
41,2019-03-01,17.65,17.65,17.65,17.65,15.538737,0
42,2019-03-04,17.65,17.65,17.65,17.65,15.538737,0
43,2019-03-05,17.65,17.65,17.65,17.65,15.538737,0
44,2019-03-06,17.65,17.65,17.65,17.65,15.538737,0
45,2019-03-07,17.65,17.65,17.65,17.65,15.538737,0
46,2019-03-08,17.65,17.65,17.65,17.65,15.538737,0
47,2019-03-11,17.65,17.65,17.65,17.65,15.538737,0
48,2019-03-12,17.65,17.65,17.65,17.65,15.538737,0
49,2019-03-13,17.65,17.65,17.65,17.65,15.538737,0
50,2019-03-14,17.65,17.65,17.65,17.65,15.538737,0
51,2019-03-15,17.65,17.65,17.65,17.65,15.538737,0
52,2019-03-18,17.65,17.65,17.65,17.65,15.538737,0
53,2019-03-19,17.65,17.65,17.65,17.65,15.538737,0
54,2019-03-20,17.65,17.65,17.65,17.65,15.538737,0
55,2019-03-21,17.65,17.65,17.65,17.65,15.538737,0
56,2019-03-22,17.65,17.65,17.65,17.65,15.538737,0
57,2019-03-25,17.65,17.65,17.65,17.65,15.538737,0
58,2019-03-26,17.65,17.65,17.65,17.65,15.538737,0
59,2019-03-27,17.65,17.65,17.65,17.65,15.538737,0
60,2019-03-28,20.1775,20.1775,19.950001,19.950001,17.563616,321
61,2019-03-29,19.950001,19.950001,19.950001,19.950001,17.563616,0
62,2019-04-01,19.950001,19.950001,19.950001,19.950001,17.563616,0
63,2019-04-02,19.950001,19.950001,19.950001,19.950001,17.563616,0
64,2019-04-03,19.950001,19.950001,19.950001,19.950001,17.563616,0
65,2019-04-04,19.950001,19.950001,19.950001,19.950001,17.563616,0
66,2019-04-05,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,190
67,2019-04-08,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
68,2019-04-09,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
69,2019-04-10,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
70,2019-04-11,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
71,2019-04-12,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
72,2019-04-15,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
73,2019-04-16,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
74,2019-04-17,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
75,2019-04-18,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
76,2019-04-22,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
77,2019-04-23,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
78,2019-04-24,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
79,2019-04-25,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
80,2019-04-26,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
81,2019-04-29,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
82,2019-04-30,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
83,2019-05-01,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
84,2019-05-02,20.940001000000002,20.940001000000002,20.940001000000002,20.940001000000002,18.435194,0
85,2019-05-03,21.0,21.0,21.0,21.0,18.488016000000002,100
86,2019-05-06,21.0,21.0,21.0,21.0,18.488016000000002,0
87,2019-05-07,21.0,21.0,21.0,21.0,18.488016000000002,0
88,2019-05-08,21.0,21.0,21.0,21.0,18.488016000000002,0
89,2019-05-09,21.0,21.0,21.0,21.0,18.488016000000002,0
90,2019-05-10,21.0,21.0,21.0,21.0,18.488016000000002,0
91,2019-05-13,21.0,21.0,21.0,21.0,18.488016000000002,0
92,2019-05-14,21.0,21.0,21.0,21.0,18.488016000000002,0
