,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-12-31,26.889999,27.34,26.75,26.969998999999998,24.402821,246400
1,2019-01-02,26.18,26.52,26.18,26.51,23.986609,133900
2,2019-01-03,26.35,26.35,26.18,26.26,23.760405,67100
3,2019-01-04,26.85,27.43,26.84,27.4,24.791891,103400
4,2019-01-07,27.52,27.709999,27.450001,27.65,25.018095000000002,113200
5,2019-01-08,28.030001000000002,28.049999,27.530001000000002,27.68,25.045238,138600
6,2019-01-09,28.059998999999998,28.17,27.860001,28.049999,25.380020000000002,54400
7,2019-01-10,27.77,27.99,27.700001,27.93,25.271442,65300
8,2019-01-11,27.34,27.559998999999998,27.299999,27.48,24.864276999999998,77600
9,2019-01-14,27.35,27.57,27.35,27.49,24.873325,346800
10,2019-01-15,27.299999,27.389999,27.15,27.290001,24.692362,49800
11,2019-01-16,27.17,27.23,27.07,27.129998999999998,24.54759,99700
12,2019-01-17,27.0,27.450001,26.950001,27.23,24.638073000000002,113800
13,2019-01-18,27.92,28.0,27.75,27.969998999999998,25.307634,107900
14,2019-01-22,27.459999,27.6,27.34,27.41,24.80094,152400
15,2019-01-23,27.440001000000002,27.540001,27.32,27.41,24.80094,49200
16,2019-01-24,27.52,27.74,27.459999,27.57,24.945709,66500
17,2019-01-25,28.25,28.440001000000002,28.200001,28.25,25.560982,54800
18,2019-01-28,28.18,28.290001,28.09,28.26,25.570032,93100
19,2019-01-29,28.35,28.35,28.15,28.15,25.470501000000002,69500
20,2019-01-30,27.940001000000002,28.27,27.84,28.219998999999998,25.533835999999997,49600
21,2019-01-31,27.799999,28.200001,27.799999,28.129998999999998,25.452406,56500
22,2019-02-01,28.27,28.43,28.190001000000002,28.27,25.579081,75900
23,2019-02-04,27.959999,28.049999,27.82,28.040001,25.370974,75600
24,2019-02-05,28.08,28.08,27.959999,28.040001,25.370974,116200
25,2019-02-06,27.98,28.02,27.879998999999998,27.9,25.244297,71600
26,2019-02-07,27.34,27.34,26.92,27.0,24.429966,51200
27,2019-02-08,26.5,26.5,26.16,26.42,23.905174,53000
28,2019-02-11,26.0,26.200001,25.969998999999998,26.09,23.606586,83000
29,2019-02-12,26.360001,26.52,26.35,26.42,23.905174,155600
30,2019-02-13,26.549999,26.6,26.450001,26.51,23.986609,102200
31,2019-02-14,26.24,26.360001,26.129998999999998,26.17,23.67897,68000
32,2019-02-15,26.67,26.76,26.540001,26.719998999999998,24.176617,60900
33,2019-02-19,26.620001000000002,26.950001,26.58,26.91,24.348534,105600
34,2019-02-20,27.450001,27.67,27.379998999999998,27.49,24.873325,93500
35,2019-02-21,27.68,27.73,27.469998999999998,27.559998999999998,24.936660999999997,60900
36,2019-02-22,27.67,27.84,27.57,27.629998999999998,24.999998,52100
37,2019-02-25,28.219998999999998,28.219998999999998,27.82,27.83,25.18096,59100
38,2019-02-26,27.940001000000002,28.120001000000002,27.940001000000002,28.08,25.407164,37000
39,2019-02-27,28.18,28.209999,27.959999,28.09,25.416211999999998,65000
40,2019-02-28,28.15,28.24,28.059998999999998,28.16,25.479549,33700
41,2019-03-01,28.5,28.5,28.299999,28.4,25.696704999999998,33000
42,2019-03-04,28.290001,28.290001,27.940001000000002,28.09,25.416211999999998,40000
43,2019-03-05,28.219998999999998,28.35,27.889999,28.059998999999998,25.389067,58400
44,2019-03-06,28.09,28.110001,27.98,28.01,25.343828,37300
45,2019-03-07,27.459999,27.459999,27.049999,27.17,24.583784,36400
46,2019-03-08,26.799999,27.1,26.75,27.049999,24.475206,51900
47,2019-03-11,27.17,27.469998999999998,27.17,27.469998999999998,24.855228,45900
48,2019-03-12,27.52,27.559998999999998,27.360001,27.469998999999998,24.855228,36000
49,2019-03-13,27.58,27.790001,27.58,27.76,25.117624,49000
50,2019-03-14,27.92,27.950001,27.690001000000002,27.76,25.117624,31000
51,2019-03-15,27.959999,28.030001000000002,27.82,27.969998999999998,25.307634,101200
52,2019-03-18,28.049999,28.1,27.940001000000002,28.09,25.416211999999998,41700
53,2019-03-19,28.83,28.9,28.459999,28.49,25.778137,47700
54,2019-03-20,27.16,27.67,27.120001000000002,27.52,24.900469,76200
55,2019-03-21,26.98,27.09,26.85,27.049999,24.475206,57600
56,2019-03-22,26.290001,26.33,26.030001000000002,26.1,23.615635,100300
57,2019-03-25,26.01,26.139999,25.940001000000002,26.040001,23.561346,81000
58,2019-03-26,25.620001000000002,26.1,25.540001,25.620001000000002,23.181324,112600
59,2019-03-27,25.76,25.82,25.4,25.639999,23.199419,96200
60,2019-03-28,25.530001000000002,25.57,25.33,25.469998999999998,23.045601,77600
61,2019-03-29,25.610001,25.75,25.49,25.709999,23.262756,51300
62,2019-04-01,26.16,26.18,26.030001000000002,26.129998999999998,23.642776,56900
63,2019-04-02,26.639999,26.75,26.51,26.690001000000002,24.149473,107600
64,2019-04-03,27.190001000000002,27.25,27.110001,27.16,24.574735999999998,92900
65,2019-04-04,27.459999,27.57,27.299999,27.4,24.791891,60600
66,2019-04-05,27.67,27.74,26.77,26.799999,24.249001999999997,90400
67,2019-04-08,27.610001,27.67,27.530001000000002,27.57,24.945709,41700
68,2019-04-09,27.43,27.530001000000002,27.389999,27.42,24.809986,75700
69,2019-04-10,27.450001,27.610001,27.389999,27.52,24.900469,35500
70,2019-04-11,27.620001000000002,27.700001,27.48,27.549999,24.927612,32900
71,2019-04-12,28.309998999999998,28.450001,28.26,28.299999,25.606222,43800
72,2019-04-15,28.51,28.530001000000002,28.4,28.43,25.72385,28300
73,2019-04-16,28.73,28.790001,28.690001000000002,28.709999,25.977196,33700
74,2019-04-17,29.190001000000002,29.23,29.0,29.1,26.330074,59400
75,2019-04-18,29.110001,29.219998999999998,29.040001,29.219998999999998,26.438652,67800
76,2019-04-22,28.98,29.25,28.98,29.219998999999998,26.438652,33300
77,2019-04-23,28.99,29.0,28.879998999999998,28.950001,26.194353,25800
78,2019-04-24,28.48,28.51,28.290001,28.35,25.651464,43300
79,2019-04-25,28.299999,28.299999,28.059998999999998,28.1,25.425261,59900
80,2019-04-26,28.190001000000002,28.370001000000002,28.08,28.27,25.579081,24800
81,2019-04-29,28.200001,28.309998999999998,28.139999,28.27,25.579081,45300
82,2019-04-30,28.26,28.43,28.17,28.389999,25.687656,31700
