,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-12-31,9.12,9.19,9.06,9.14,8.106844,7460200
1,2019-01-02,9.26,9.75,9.25,9.71,8.616183,22665600
2,2019-01-03,9.73,9.95,9.65,9.84,8.731538,16129400
3,2019-01-04,9.77,10.07,9.71,9.97,8.846896000000001,17584900
4,2019-01-07,10.01,10.04,9.8,9.88,8.767033,21363000
5,2019-01-08,9.86,10.1,9.79,10.06,8.926757,19355600
6,2019-01-09,10.18,10.32,10.16,10.27,9.113102,18623800
7,2019-01-10,10.21,10.39,10.08,10.21,9.059856,30609800
8,2019-01-11,10.05,10.13,9.97,10.11,8.971123,17049600
9,2019-01-14,10.03,10.24,10.0,10.18,9.033237,11806000
10,2019-01-15,10.03,10.09,9.86,10.04,8.909007,22033000
11,2019-01-16,9.89,10.01,9.85,9.94,8.820274000000001,9167100
12,2019-01-17,9.75,9.97,9.75,9.93,8.811401,10512300
13,2019-01-18,10.05,10.09,9.92,10.0,8.873516,13512300
14,2019-01-22,9.86,9.94,9.68,9.77,8.669425,11212400
15,2019-01-23,9.88,9.96,9.75,9.94,8.820274000000001,13952000
16,2019-01-24,9.9,10.0,9.83,9.85,8.740412,25931300
17,2019-01-25,9.98,10.1,8.96,10.01,8.882389,12475500
18,2019-01-28,9.85,10.14,9.83,10.03,8.900134,14229600
19,2019-01-29,10.23,10.24,10.14,10.17,9.024367,19465500
20,2019-01-30,10.19,10.39,10.01,10.33,9.166343,15638200
21,2019-01-31,10.57,10.76,10.54,10.64,9.441419,22375200
22,2019-02-01,10.49,10.61,10.42,10.58,9.391709,14202000
23,2019-02-04,10.52,10.8,10.48,10.78,9.569247,14786000
24,2019-02-05,10.43,10.46,10.17,10.21,9.063264,63667000
25,2019-02-06,10.0,10.06,9.79,9.81,8.708192,34487700
26,2019-02-07,9.9,9.91,9.65,9.76,8.663806,28650200
27,2019-02-08,10.02,10.06,9.67,9.94,8.823589,29279300
28,2019-02-11,9.9,9.91,9.65,9.78,8.681561,16552100
29,2019-02-12,9.97,10.19,9.91,10.09,8.956744,19998100
30,2019-02-13,9.96,10.0,9.74,9.83,8.725947,15054500
31,2019-02-14,9.64,10.15,9.61,10.07,8.938991,26763200
32,2019-02-15,10.08,10.14,9.94,10.12,8.983374000000001,18881100
33,2019-02-19,10.05,10.19,10.04,10.11,8.974496,13195600
34,2019-02-20,10.09,10.25,9.95,9.96,8.841345,16584200
35,2019-02-21,9.92,10.07,9.83,10.03,8.903482,38216600
36,2019-02-22,9.71,9.79,9.68,9.72,9.068622999999999,13076900
37,2019-02-25,9.82,9.83,9.6,9.62,8.975325,10283100
38,2019-02-26,9.62,9.67,9.57,9.63,8.984651,9867200
39,2019-02-27,9.6,9.66,9.55,9.62,8.975325,9253600
40,2019-02-28,9.53,9.54,9.33,9.4,8.770067,17419400
41,2019-03-01,9.32,9.37,9.23,9.28,8.661792,15798900
42,2019-03-04,9.28,9.44,9.14,9.25,8.633794,10322200
43,2019-03-05,9.29,9.32,9.17,9.27,8.652459,7460000
44,2019-03-06,9.26,9.3,9.01,9.11,8.503119,20578300
45,2019-03-07,9.11,9.15,8.98,9.15,8.540452,43302800
46,2019-03-08,9.1,9.25,9.09,9.2,8.587123,12176900
47,2019-03-11,9.38,9.62,9.36,9.61,8.969812,16230000
48,2019-03-12,9.61,9.68,9.57,9.64,8.997809,13005000
49,2019-03-13,9.63,9.88,9.57,9.79,9.137817,13743900
50,2019-03-14,9.71,9.73,9.44,9.55,8.913808,17241300
51,2019-03-15,9.62,9.7,9.56,9.58,8.941809,20287900
52,2019-03-18,9.61,9.76,9.6,9.74,9.091147,12523100
53,2019-03-19,9.73,9.74,9.5,9.54,8.904471000000001,20860400
54,2019-03-20,9.46,9.57,9.3,9.38,8.755132000000001,19234500
55,2019-03-21,9.32,9.32,8.91,9.13,8.521787,32517600
56,2019-03-22,8.72,8.8,8.56,8.61,8.036427,42142400
57,2019-03-25,8.64,8.85,8.63,8.68,8.101764999999999,18038500
58,2019-03-26,8.79,8.82,8.65,8.79,8.204435,16651000
59,2019-03-27,8.54,8.6,8.32,8.34,7.784413000000001,31455200
60,2019-03-28,8.35,8.79,8.32,8.69,8.111098,33423100
61,2019-03-29,8.8,8.86,8.68,8.81,8.223104,24769800
62,2019-04-01,8.94,8.97,8.79,8.82,8.236175999999999,22683600
63,2019-04-02,8.85,8.85,8.68,8.77,8.189484,14570400
64,2019-04-03,8.84,8.9,8.58,8.6,8.030742,32878400
65,2019-04-04,8.58,8.86,8.56,8.81,8.226838,13616000
66,2019-04-05,8.77,8.98,8.75,8.93,8.338896,12642900
67,2019-04-08,8.89,8.96,8.82,8.93,8.338896,9540100
68,2019-04-09,8.87,8.87,8.72,8.85,8.264192,10214300
69,2019-04-10,8.94,8.98,8.82,8.9,8.310883,17530200
70,2019-04-11,8.8,8.84,8.61,8.69,8.114782,16640700
71,2019-04-12,8.63,8.76,8.39,8.49,7.928021,31755800
72,2019-04-15,8.61,8.62,8.44,8.52,7.956036,14521000
73,2019-04-16,8.5,8.62,8.42,8.46,7.900005,32242800
74,2019-04-17,8.49,8.51,8.13,8.27,7.722583,23210600
75,2019-04-18,8.22,8.49,8.18,8.39,7.834639999999999,17377000
76,2019-04-22,8.35,8.45,8.26,8.34,7.787949,10448200
77,2019-04-23,8.41,8.53,8.35,8.48,7.918683000000001,10297800
78,2019-04-24,8.39,8.4,8.24,8.33,7.778611,15113600
79,2019-04-25,8.36,8.56,8.22,8.5,7.937358000000001,15386400
80,2019-04-26,8.5,8.65,8.47,8.59,8.0214,9073000
81,2019-04-29,8.63,8.68,8.5,8.53,7.965371,14703900
82,2019-04-30,8.6,8.69,8.46,8.65,8.077432,22240900
83,2019-05-01,8.66,8.71,8.51,8.53,7.965371,10743600
84,2019-05-02,8.52,8.66,8.49,8.6,8.034509,11189500
85,2019-05-03,8.6,8.66,8.55,8.59,8.025164,38851900
86,2019-05-06,8.4,8.44,8.33,8.34,7.791603,15107100
87,2019-05-07,8.15,8.24,8.01,8.24,7.6981779999999995,29177600
88,2019-05-08,8.43,8.51,8.37,8.37,7.819628999999999,14272100
89,2019-05-09,8.21,8.34,8.12,8.23,7.688834,17213500
90,2019-05-10,8.31,8.34,8.08,8.23,7.688834,11704300
91,2019-05-13,8.02,8.06,7.96,8.0,7.473960000000001,21831300
92,2019-05-14,8.08,8.09,7.97,8.01,7.483302,12703200
93,2019-05-15,7.79,8.01,7.77,7.93,7.408562,14628100
94,2019-05-16,7.84,7.92,7.74,7.79,7.277767999999999,14587200
95,2019-05-17,7.79,7.86,7.59,7.67,7.165659,33641900
96,2019-05-20,7.69,7.92,7.66,7.89,7.371192,37079100
97,2019-05-21,7.96,8.31,7.9,8.23,7.688834,35124900
98,2019-05-22,8.33,8.4,8.21,8.32,7.772917999999999,26264500
99,2019-05-23,8.21,8.37,8.17,8.31,7.763576,27159600
100,2019-05-24,8.35,8.35,8.21,8.28,7.735547,17802200
101,2019-05-28,8.32,8.48,8.27,8.41,7.856998,19317100
102,2019-05-29,8.54,8.77,8.51,8.68,8.109246,24633200
103,2019-05-30,8.76,8.9,8.76,8.79,8.212015,11725900
104,2019-05-31,8.83,9.03,8.82,8.9,8.314781,17783400
105,2019-06-03,9.01,9.02,8.89,8.96,8.374599,13694200
106,2019-06-04,9.01,9.08,8.96,9.05,8.458718,16752500
107,2019-06-05,9.05,9.06,8.78,8.85,8.271787,11880400
108,2019-06-06,8.93,9.0,8.85,8.91,8.327864,8381800
109,2019-06-07,8.96,9.14,8.94,9.05,8.458718,17017500
110,2019-06-10,8.92,8.98,8.78,8.97,8.383944999999999,18428800
111,2019-06-11,9.0,9.05,8.85,9.04,8.449373,22318600
112,2019-06-12,9.02,9.16,8.93,8.96,8.374599,17963900
113,2019-06-13,8.89,8.99,8.74,8.85,8.271787,25281600
114,2019-06-14,8.73,8.76,8.6,8.72,8.150277,21172900
115,2019-06-17,8.75,8.83,8.7,8.72,8.150277,12583300
116,2019-06-18,8.85,9.01,8.84,8.97,8.383944999999999,13801100
117,2019-06-19,8.96,9.2,8.88,9.14,8.542836999999999,18874600
118,2019-06-20,9.27,9.39,9.26,9.32,8.711075,14446000
119,2019-06-21,9.26,9.42,9.25,9.37,8.757810000000001,17598500
120,2019-06-24,9.39,9.53,9.33,9.42,8.804542999999999,15089200
121,2019-06-25,9.41,9.44,9.21,9.25,8.645650999999999,24059100
122,2019-06-26,9.37,9.47,9.27,9.44,8.823236,15821600
123,2019-06-27,9.33,9.47,9.18,9.4,8.785851,17483400
124,2019-06-28,9.47,9.51,9.4,9.42,8.804542999999999,17280500
125,2019-07-01,9.57,9.61,9.32,9.4,8.789583,14417300
126,2019-07-02,9.33,9.47,9.19,9.34,8.733478999999999,14731300
127,2019-07-03,9.27,9.45,9.27,9.39,8.780231,6614400
128,2019-07-05,9.6,9.77,9.55,9.72,9.088801,23107800
129,2019-07-08,9.76,9.78,9.69,9.74,9.107503,11543800
130,2019-07-09,9.63,9.85,9.57,9.77,9.135555,15757900
131,2019-07-10,9.92,9.98,9.81,9.84,9.201011,21507400
132,2019-07-11,9.79,9.87,9.73,9.86,9.219711,12624000
133,2019-07-12,9.88,9.93,9.73,9.75,9.116854,14416400
134,2019-07-15,9.75,9.79,9.59,9.61,8.985949,10761500
135,2019-07-16,9.64,9.71,9.59,9.62,8.995294,12070500
136,2019-07-17,9.68,9.78,9.63,9.67,9.042049,10442800
137,2019-07-18,9.69,9.95,9.69,9.94,9.294518,16016100
138,2019-07-19,9.88,9.92,9.66,9.68,9.0514,17522100
139,2019-07-22,9.84,9.93,9.73,9.85,9.210361,13236900
140,2019-07-23,9.8,9.91,9.7,9.86,9.219711,17024700
141,2019-07-24,9.88,10.01,9.8,9.84,9.201011,15007600
142,2019-07-25,9.74,9.75,9.46,9.49,8.873739,17157800
143,2019-07-26,9.61,9.79,9.49,9.7,9.070105,19220700
144,2019-07-29,9.74,9.74,9.58,9.7,9.070105,16654900
145,2019-07-30,9.41,9.61,9.32,9.36,8.752183,22281900
146,2019-07-31,9.38,9.4,9.06,9.15,8.555817999999999,27072600
147,2019-08-01,9.28,9.44,9.06,9.09,8.50343,34826800
148,2019-08-02,9.04,9.09,8.87,8.98,8.400528,28477500
149,2019-08-05,8.69,8.8,8.64,8.73,8.166659,24518900
150,2019-08-06,8.88,8.94,8.75,8.91,8.335047,17277400
151,2019-08-07,8.84,9.24,8.82,9.22,8.625042,28595200
152,2019-08-08,9.35,9.48,9.32,9.35,8.746655,18885500
153,2019-08-09,9.34,9.39,9.19,9.27,8.671816,11617300
154,2019-08-12,8.91,8.95,8.75,8.86,8.288272000000001,19270600
155,2019-08-13,8.81,9.13,8.75,9.0,8.419239,14684800
156,2019-08-14,8.76,8.86,8.66,8.69,8.129244,15527700
157,2019-08-15,8.68,8.85,8.61,8.76,8.194726,13139800
158,2019-08-16,8.68,8.71,8.51,8.58,8.206203,14300600
159,2019-08-19,8.64,8.85,8.34,8.39,8.024481,17232400
160,2019-08-20,8.38,8.55,8.3,8.38,8.014918,16331800
161,2019-08-21,8.47,8.55,8.37,8.49,8.120125,14248100
162,2019-08-22,8.39,8.5,8.24,8.27,7.909708999999999,14895400
163,2019-08-23,8.2,8.36,8.0,8.05,7.699294,36736200
164,2019-08-26,8.08,8.09,7.88,8.0,7.651471000000001,24563700
165,2019-08-27,8.1,8.21,7.98,8.06,7.708857000000001,19863200
166,2019-08-28,8.04,8.22,8.03,8.16,7.804500999999999,14041000
167,2019-08-29,8.19,8.3,8.04,8.24,7.8810139999999995,10781000
168,2019-08-30,8.31,8.31,8.16,8.24,7.8810139999999995,18983500
169,2019-09-03,8.05,8.14,7.85,7.92,7.578636,18632800
170,2019-09-04,8.05,8.07,7.97,8.07,7.722169999999999,15488700
171,2019-09-05,8.24,8.51,8.24,8.28,7.923119,30614300
172,2019-09-06,8.46,8.67,8.46,8.58,8.210189999999999,23599300
173,2019-09-09,8.68,8.88,8.68,8.78,8.401566,23594100
174,2019-09-10,8.67,8.78,8.55,8.61,8.238894,20739900
175,2019-09-11,8.62,8.74,8.56,8.65,8.277174,12453500
176,2019-09-12,8.77,8.77,8.64,8.64,8.267603,14409200
177,2019-09-13,8.78,8.95,8.71,8.73,8.353724,25589600
178,2019-09-16,8.57,8.67,8.51,8.54,8.171911,18286100
179,2019-09-17,8.53,8.66,8.49,8.64,8.267603,12062700
180,2019-09-18,8.64,8.68,8.46,8.56,8.191049000000001,10891700
181,2019-09-19,8.6,8.66,8.29,8.31,7.951826,15460400
182,2019-09-20,8.34,8.42,8.27,8.34,7.980533,19541800
183,2019-09-23,8.25,8.28,8.18,8.25,7.894411999999999,11894400
184,2019-09-24,8.29,8.29,8.15,8.19,7.8369979999999995,9853100
185,2019-09-25,8.16,8.37,8.14,8.32,7.961394,12206700
186,2019-09-26,8.36,8.57,8.34,8.52,8.152775,15327300
187,2019-09-27,8.51,8.54,8.38,8.52,8.152775,8879200
188,2019-09-30,8.54,8.56,8.39,8.41,8.047517,7326800
189,2019-10-01,8.39,8.43,8.21,8.23,7.879021000000001,11498200
190,2019-10-02,8.13,8.13,7.94,8.04,7.6971240000000005,16484300
191,2019-10-03,8.08,8.2,7.97,8.03,7.687550999999999,33375700
192,2019-10-04,8.07,8.23,8.02,8.23,7.879021000000001,48980500
193,2019-10-07,8.15,8.25,7.96,7.99,7.649255999999999,22453600
194,2019-10-08,7.99,8.12,7.93,7.94,7.601389,19762800
195,2019-10-09,8.03,8.14,7.92,8.07,7.725842999999999,14147100
196,2019-10-10,7.99,8.14,7.98,8.07,7.725842999999999,21680800
197,2019-10-11,8.16,8.33,8.14,8.26,7.907742999999999,18662500
198,2019-10-14,8.23,8.34,8.21,8.27,7.9173160000000005,8921200
199,2019-10-15,8.27,8.32,8.22,8.25,7.898169,11986900
200,2019-10-16,8.09,8.37,8.06,8.36,8.003476,15137400
201,2019-10-17,8.44,8.47,8.21,8.26,7.907742999999999,17792100
202,2019-10-18,8.2,8.33,8.18,8.27,7.9173160000000005,9484500
203,2019-10-21,8.23,8.4,8.16,8.36,8.003476,13237600
204,2019-10-22,8.43,8.77,8.43,8.69,8.319403,27419300
205,2019-10-23,8.76,9.0,8.74,8.95,8.568318,26202200
206,2019-10-24,9.04,9.15,8.95,9.0,8.616183,19617000
207,2019-10-25,9.05,9.21,9.02,9.09,8.702347,16595800
208,2019-10-28,9.22,9.37,9.21,9.27,8.874669,17632400
209,2019-10-29,9.2,9.23,9.1,9.12,8.731067999999999,13224700
210,2019-10-30,8.97,9.22,8.87,9.18,8.788508,22483200
211,2019-10-31,9.05,9.06,8.84,9.03,8.644903999999999,20349900
212,2019-11-01,9.12,9.23,8.96,9.06,8.67747,18268600
213,2019-11-04,9.11,9.12,8.98,9.02,8.639155,14700700
214,2019-11-05,9.24,9.29,9.16,9.19,8.801978,40814800
215,2019-11-06,9.0,9.12,8.91,8.96,8.581692,22043700
216,2019-11-07,8.94,8.96,8.86,8.92,8.54338,15083200
217,2019-11-08,8.72,8.79,8.61,8.68,8.313514999999999,18537800
218,2019-11-11,8.74,8.81,8.69,8.71,8.342246000000001,47834800
219,2019-11-12,8.58,8.62,8.45,8.54,8.179424000000001,16123500
220,2019-11-13,8.42,8.48,8.36,8.46,8.102803,16938100
221,2019-11-14,8.43,8.52,8.4,8.44,8.083647000000001,12736200
222,2019-11-15,8.5,8.57,8.5,8.56,8.198580999999999,7309800
223,2019-11-18,8.57,8.59,8.39,8.41,8.054914,8790100
224,2019-11-19,8.31,8.34,8.22,8.3,7.949557,14765900
225,2019-11-20,8.22,8.3,8.19,8.28,7.930402000000001,8629900
226,2019-11-21,8.32,8.43,8.27,8.41,8.054914,18597700
227,2019-11-22,8.46,8.54,8.43,8.48,8.121958,9826300
228,2019-11-25,8.39,8.45,8.25,8.33,7.978292,20012700
229,2019-11-26,8.17,8.18,8.0,8.11,7.767580000000001,35691000
230,2019-11-27,8.11,8.19,8.0,8.16,7.815467999999999,28252300
231,2019-11-29,8.16,8.2,8.13,8.14,7.7963130000000005,6874700
232,2019-12-02,8.3,8.4,8.25,8.35,8.001379,23829600
233,2019-12-03,8.4,8.44,8.28,8.36,8.010959,14879300
234,2019-12-04,8.49,8.69,8.48,8.61,8.250523,28566500
235,2019-12-05,8.73,8.77,8.63,8.68,8.317602,17815400
236,2019-12-06,8.71,8.74,8.56,8.63,8.269688,32352700
237,2019-12-09,8.57,8.9,8.56,8.8,8.43259,20754000
238,2019-12-10,8.78,8.78,8.59,8.65,8.288853999999999,14135100
239,2019-12-11,8.73,8.84,8.58,8.59,8.231359,25352500
240,2019-12-12,8.63,8.73,8.6,8.68,8.317602,17846300
241,2019-12-13,8.62,8.86,8.62,8.8,8.441342,16859100
242,2019-12-16,8.87,8.98,8.76,8.76,8.402974,16444000
243,2019-12-17,8.74,8.89,8.7,8.8,8.441342,12898300
244,2019-12-18,8.83,9.03,8.82,8.98,8.614007,15041200
245,2019-12-19,8.88,9.02,8.88,8.99,8.623599,13686200
246,2019-12-20,8.93,8.95,8.83,8.83,8.47012,13948600
247,2019-12-23,8.93,9.01,8.9,8.95,8.585229,9054000
248,2019-12-24,9.0,9.0,8.93,8.93,8.566047,2217700
249,2019-12-26,9.07,9.18,9.07,9.15,8.777077,8554500
250,2019-12-27,9.21,9.21,9.07,9.11,8.738708,9138800
251,2019-12-30,9.25,9.26,9.13,9.15,8.777077,10992000
252,2019-12-31,9.08,9.17,9.08,9.15,8.777077,3748700
