,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-12-31,10.54,10.61,10.47,10.49,9.889459,716900
1,2019-01-02,10.32,10.44,10.29,10.44,9.842319999999999,323300
2,2019-01-03,10.23,10.25,10.08,10.09,9.512359,666800
3,2019-01-04,10.49,10.58,10.37,10.55,9.946023,546700
4,2019-01-07,10.54,10.65,10.52,10.59,9.983733,461400
5,2019-01-08,10.63,10.75,10.58,10.72,10.106292,1529400
6,2019-01-09,10.92,11.09,10.9,11.02,10.389116,1448200
7,2019-01-10,11.0,11.12,11.0,11.11,10.473964,652500
8,2019-01-11,11.03,11.15,11.01,11.1,10.464537,420100
9,2019-01-14,10.77,10.87,10.73,10.83,10.209992999999999,1099600
10,2019-01-15,11.06,11.21,11.05,11.18,10.539956,438900
11,2019-01-16,11.68,11.83,11.68,11.75,11.077325,526400
12,2019-01-17,11.72,11.86,11.68,11.79,11.115035,731900
13,2019-01-18,12.17,12.2,12.1,12.19,11.492134,782400
14,2019-01-22,11.95,11.98,11.78,11.83,11.152744,862800
15,2019-01-23,12.09,12.12,11.99,12.06,11.369578,670900
16,2019-01-24,12.0,12.08,11.97,12.07,11.379004,356600
17,2019-01-25,12.47,12.59,12.46,12.52,11.803243,655800
18,2019-01-28,12.37,12.4,12.31,12.4,11.690112,373900
19,2019-01-29,11.84,11.93,11.56,11.61,10.945339,2250900
20,2019-01-30,11.99,12.09,11.91,12.08,11.388433000000001,1051600
21,2019-01-31,12.24,12.35,12.22,12.33,11.624121,740400
22,2019-02-01,12.31,12.36,12.28,12.34,11.633548,510800
23,2019-02-04,12.25,12.31,12.21,12.27,11.567555,545700
24,2019-02-05,12.3,12.46,12.29,12.45,11.73725,303400
25,2019-02-06,12.43,12.44,12.3,12.3,11.595838,387800
26,2019-02-07,12.22,12.28,12.07,12.19,11.492134,264600
27,2019-02-08,12.11,12.22,12.09,12.19,11.492134,246800
28,2019-02-11,12.22,12.23,12.14,12.16,11.463852000000001,173800
29,2019-02-12,12.18,12.22,12.15,12.21,11.51099,303500
30,2019-02-13,12.51,12.56,12.39,12.45,11.73725,709700
31,2019-02-14,12.19,12.24,12.14,12.19,11.492134,341200
32,2019-02-15,12.05,12.14,12.03,12.11,11.416715,350000
33,2019-02-19,12.46,12.69,12.44,12.64,11.916374000000001,690600
34,2019-02-20,13.04,13.18,13.04,13.09,12.340611,620700
35,2019-02-21,13.09,13.09,12.97,12.98,12.236908,349500
36,2019-02-22,13.4,13.53,13.38,13.47,12.698857,636300
37,2019-02-25,14.34,14.47,14.33,14.36,13.537904000000001,1323100
38,2019-02-26,14.11,14.22,14.11,14.2,13.387064,403500
39,2019-02-27,13.83,13.89,13.73,13.77,12.981682000000001,701200
40,2019-02-28,13.79,13.79,13.69,13.72,12.934545,273800
41,2019-03-01,14.4,14.5,14.37,14.42,13.594470000000001,721500
42,2019-03-04,14.33,14.33,14.05,14.2,13.387064,501200
43,2019-03-05,14.11,14.24,14.08,14.21,13.396492000000002,400600
44,2019-03-06,14.25,14.26,14.11,14.11,13.302217,416500
45,2019-03-07,13.58,13.6,13.35,13.36,12.595153999999999,1010700
46,2019-03-08,13.04,13.1,12.96,13.08,12.331183,793700
47,2019-03-11,13.29,13.41,13.28,13.4,12.632864,390300
48,2019-03-12,13.51,13.64,13.51,13.6,12.821414,592700
49,2019-03-13,13.65,13.69,13.61,13.65,12.868551,348400
50,2019-03-14,13.47,13.47,13.37,13.4,12.632864,452900
51,2019-03-15,13.53,13.6,13.49,13.55,12.774277,388000
52,2019-03-18,13.78,13.83,13.74,13.8,13.009964,253400
53,2019-03-19,13.84,13.86,13.77,13.79,13.000537,227400
54,2019-03-20,13.64,13.75,13.56,13.63,12.849697,407300
55,2019-03-21,13.61,13.74,13.6,13.74,12.9534,328400
56,2019-03-22,13.38,13.46,13.19,13.2,12.444314,334800
57,2019-03-25,12.98,13.1,12.97,13.01,12.265191,755800
58,2019-03-26,12.95,12.98,12.88,12.95,12.208625,520600
59,2019-03-27,12.89,13.1,12.89,12.98,12.236908,678200
60,2019-03-28,13.05,13.07,12.92,12.97,12.227481,621800
61,2019-03-29,13.42,13.45,13.34,13.42,12.651717999999999,444200
62,2019-04-01,13.66,13.67,13.58,13.66,12.877978,302200
63,2019-04-02,13.66,13.68,13.56,13.64,12.859124000000001,217800
64,2019-04-03,13.82,13.9,13.75,13.76,12.972255,248300
65,2019-04-04,13.89,13.96,13.88,13.96,13.160804999999998,606500
66,2019-04-05,14.0,14.11,14.0,14.06,13.25508,376500
67,2019-04-08,13.94,13.99,13.92,13.96,13.160804999999998,166800
68,2019-04-09,13.83,13.83,13.76,13.82,13.028819,390200
69,2019-04-10,13.74,13.77,13.71,13.73,12.943971000000001,329600
70,2019-04-11,13.41,13.42,13.33,13.37,12.604581,275300
71,2019-04-12,13.59,13.59,13.5,13.56,12.783705,511000
72,2019-04-15,13.56,13.57,13.39,13.43,12.661147,462600
73,2019-04-16,13.81,13.88,13.79,13.85,13.057102,555600
74,2019-04-17,13.93,13.97,13.86,13.87,13.075956,267500
75,2019-04-18,14.23,14.51,14.18,14.45,13.622751999999998,1169200
76,2019-04-22,14.2,14.2,14.06,14.13,13.321072000000001,326400
77,2019-04-23,14.13,14.17,14.07,14.14,13.330501000000002,387200
78,2019-04-24,14.07,14.07,13.93,13.97,13.170232,585700
79,2019-04-25,13.78,13.97,13.69,13.93,13.132522,574700
