,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-12-31,4.86,4.9,4.83,4.87,4.532495,2648500
1,2019-01-02,4.78,4.99,4.78,4.96,4.6162589999999994,1245000
2,2019-01-03,4.89,4.95,4.88,4.9,4.560417,1741800
3,2019-01-04,4.97,5.17,4.97,5.15,4.793091,1624200
4,2019-01-07,5.1,5.14,5.05,5.11,4.755863,1813800
5,2019-01-08,5.13,5.2,5.13,5.17,4.811705,1648100
6,2019-01-09,5.17,5.17,5.12,5.15,4.793091,938700
7,2019-01-10,5.17,5.26,5.17,5.23,4.867547,2206300
8,2019-01-11,5.21,5.3,5.18,5.26,4.895468,2951900
9,2019-01-14,5.21,5.29,5.2,5.26,4.895468,2187500
10,2019-01-15,5.27,5.3,5.23,5.27,4.904774,1658500
11,2019-01-16,5.3,5.3,5.24,5.25,4.88616,1526800
12,2019-01-17,5.26,5.31,5.22,5.27,4.904774,1987100
13,2019-01-18,5.26,5.34,5.26,5.3,4.932695,2977600
14,2019-01-22,5.27,5.32,5.25,5.26,4.895468,2650200
15,2019-01-23,5.26,5.29,5.21,5.26,4.895468,1259100
16,2019-01-24,5.28,5.36,5.27,5.33,4.960616,1210800
17,2019-01-25,5.36,5.4,5.34,5.35,4.97923,959000
18,2019-01-28,5.3,5.35,5.29,5.32,4.951308999999999,1778300
19,2019-01-29,5.32,5.36,5.3,5.31,4.942002,1418600
20,2019-01-30,5.32,5.41,5.29,5.37,4.997844000000001,1533100
21,2019-01-31,5.35,5.38,5.32,5.38,5.007151,1432300
22,2019-02-01,5.28,5.29,5.22,5.25,4.88616,1591800
23,2019-02-04,5.27,5.31,5.24,5.31,4.942002,822100
24,2019-02-05,5.3,5.31,5.27,5.29,4.923388,822800
25,2019-02-06,5.29,5.32,5.29,5.29,4.923388,606400
26,2019-02-07,5.24,5.26,5.21,5.23,4.867547,1695800
27,2019-02-08,5.2,5.21,5.14,5.19,4.830318,668800
28,2019-02-11,5.19,5.23,5.18,5.21,4.848933000000001,920300
29,2019-02-12,5.26,5.34,5.26,5.31,4.942002,1202700
30,2019-02-13,5.29,5.3,5.24,5.26,4.895468,616300
31,2019-02-14,5.22,5.25,5.18,5.22,4.858239,702400
32,2019-02-15,5.24,5.29,5.23,5.29,4.923388,965700
33,2019-02-19,5.31,5.36,5.29,5.34,4.9699230000000005,632500
34,2019-02-20,5.34,5.36,5.32,5.33,4.960616,1265200
35,2019-02-21,5.33,5.33,5.27,5.29,4.923388,620900
36,2019-02-22,5.28,5.31,5.25,5.27,4.904774,868100
37,2019-02-25,5.28,5.3,5.25,5.26,4.895468,2371300
38,2019-02-26,5.23,5.26,5.22,5.24,4.876853,1186400
39,2019-02-27,5.23,5.25,5.2,5.23,4.867547,475100
40,2019-02-28,5.21,5.24,5.2,5.22,4.858239,641200
41,2019-03-01,5.23,5.24,5.2,5.21,4.848933000000001,578300
42,2019-03-04,5.2,5.23,5.14,5.2,4.839625,1433700
43,2019-03-05,5.21,5.27,5.19,5.23,4.867547,1070300
44,2019-03-06,5.21,5.24,5.19,5.2,4.839625,543700
45,2019-03-07,5.15,5.19,5.09,5.09,4.737248999999999,1128500
46,2019-03-08,5.02,5.06,5.02,5.06,4.709328,1009600
47,2019-03-11,5.08,5.09,5.04,5.04,4.690714,2033500
48,2019-03-12,5.12,5.13,5.07,5.11,4.755863,1321100
