,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-12-31,4.42,4.45,4.38,4.42,3.809938,360300
1,2019-01-02,4.39,4.55,4.39,4.5,3.878896,591700
2,2019-01-03,4.55,4.57,4.51,4.56,3.930615,234900
3,2019-01-04,4.6,4.69,4.6,4.66,4.016812,149500
4,2019-01-07,4.7,4.73,4.68,4.72,4.068531,256600
5,2019-01-08,4.68,4.73,4.67,4.72,4.068531,121300
6,2019-01-09,4.75,4.82,4.74,4.79,4.128869,196300
7,2019-01-10,4.7,4.77,4.7,4.77,4.111629,115600
8,2019-01-11,4.76,4.78,4.74,4.76,4.10301,171600
9,2019-01-14,4.73,4.77,4.72,4.74,4.08577,361500
10,2019-01-15,4.67,4.71,4.66,4.68,4.034051,854900
11,2019-01-16,4.65,4.7,4.65,4.68,4.034051,442100
12,2019-01-17,4.63,4.72,4.63,4.7,4.051291,183700
13,2019-01-18,4.75,4.77,4.72,4.75,4.09439,371100
14,2019-01-22,4.71,4.74,4.68,4.71,4.0599110000000005,481800
15,2019-01-23,4.75,4.8,4.73,4.78,4.12025,551900
16,2019-01-24,4.8,4.86,4.79,4.86,4.189208,384600
17,2019-01-25,4.86,4.88,4.84,4.87,4.197826999999999,89100
18,2019-01-28,4.82,4.83,4.77,4.79,4.128869,353400
19,2019-01-29,4.86,4.88,4.84,4.85,4.180587999999999,301400
20,2019-01-30,4.95,5.0,4.94,4.97,4.284025,557900
21,2019-01-31,4.93,4.94,4.88,4.89,4.2150669999999995,261600
22,2019-02-01,4.91,4.96,4.91,4.96,4.275405,264200
23,2019-02-04,4.92,4.95,4.91,4.93,4.249546,236000
24,2019-02-05,4.94,4.97,4.93,4.95,4.266785,140100
25,2019-02-06,4.94,4.94,4.89,4.89,4.2150669999999995,234700
26,2019-02-07,4.8,4.83,4.73,4.78,4.12025,237500
27,2019-02-08,4.82,4.84,4.78,4.8,4.1374889999999995,98100
28,2019-02-11,4.83,4.88,4.82,4.85,4.180587999999999,288200
29,2019-02-12,4.91,4.94,4.88,4.89,4.2150669999999995,388400
30,2019-02-13,4.82,4.84,4.68,4.7,4.051291,461600
31,2019-02-14,4.6,4.66,4.58,4.64,3.9995730000000003,361200
32,2019-02-15,4.69,4.75,4.69,4.74,4.08577,464900
33,2019-02-19,4.6,4.65,4.58,4.65,4.008193,400000
34,2019-02-20,4.63,4.68,4.63,4.67,4.025432,560300
35,2019-02-21,4.64,4.66,4.63,4.64,3.9995730000000003,448800
36,2019-02-22,4.68,4.69,4.65,4.65,4.008193,316600
37,2019-02-25,4.67,4.71,4.65,4.67,4.025432,415600
38,2019-02-26,4.66,4.72,4.64,4.69,4.0426720000000005,89100
39,2019-02-27,4.69,4.71,4.66,4.7,4.051291,180000
40,2019-02-28,4.78,4.78,4.71,4.72,4.068531,252900
41,2019-03-01,4.71,4.72,4.66,4.69,4.0426720000000005,245600
42,2019-03-04,4.66,4.68,4.6,4.64,3.9995730000000003,228600
43,2019-03-05,4.63,4.64,4.6,4.62,3.982333,208500
44,2019-03-06,4.64,4.64,4.59,4.62,3.982333,252400
45,2019-03-07,4.6,4.6,4.51,4.51,3.887516,431600
46,2019-03-08,4.47,4.5,4.47,4.5,3.878896,345600
47,2019-03-11,4.53,4.58,4.52,4.57,3.9392339999999995,423400
48,2019-03-12,4.54,4.59,4.54,4.57,3.9392339999999995,128200
49,2019-03-13,4.57,4.64,4.57,4.59,3.9564739999999996,463600
50,2019-03-14,4.63,4.65,4.6,4.64,3.9995730000000003,223000
51,2019-03-15,4.63,4.68,4.61,4.66,4.016812,904900
52,2019-03-18,4.78,4.8,4.77,4.79,4.128869,395400
53,2019-03-19,4.78,4.79,4.75,4.77,4.111629,479900
54,2019-03-20,4.77,4.83,4.76,4.82,4.1547279999999995,409000
55,2019-03-21,4.79,4.82,4.77,4.8,4.1374889999999995,188700
56,2019-03-22,4.71,4.72,4.61,4.64,3.9995730000000003,159100
57,2019-03-25,4.65,4.7,4.65,4.69,4.0426720000000005,90800
58,2019-03-26,4.68,4.68,4.6,4.62,3.982333,259800
59,2019-03-27,4.58,4.59,4.55,4.56,3.930615,171500
60,2019-03-28,4.53,4.58,4.53,4.57,3.9392339999999995,296200
61,2019-03-29,4.56,4.57,4.49,4.52,3.8961360000000003,552500
62,2019-04-01,4.64,4.7,4.64,4.68,4.034051,170800
63,2019-04-02,4.67,4.71,4.65,4.68,4.034051,296100
64,2019-04-03,4.76,4.79,4.72,4.73,4.07715,620900
65,2019-04-04,4.75,4.8,4.75,4.78,4.12025,290800
66,2019-04-05,4.8,4.84,4.8,4.81,4.146109,222300
67,2019-04-08,4.88,4.9,4.86,4.89,4.2150669999999995,747100
68,2019-04-09,4.99,5.0,4.95,4.96,4.275405,697800
69,2019-04-10,5.06,5.07,5.03,5.03,4.335744,845700
70,2019-04-11,4.91,4.91,4.85,4.85,4.180587999999999,284500
71,2019-04-12,4.91,4.92,4.87,4.9,4.223687,384000
72,2019-04-15,4.92,4.93,4.88,4.9,4.223687,826300
73,2019-04-16,4.93,5.06,4.92,5.03,4.335744,818700
74,2019-04-17,5.12,5.14,5.04,5.06,4.361603,474400
75,2019-04-18,5.04,5.04,4.99,5.01,4.318504,159900
76,2019-04-22,5.05,5.07,4.99,5.03,4.335744,598800
77,2019-04-23,5.02,5.06,5.0,5.05,4.352983,239300
78,2019-04-24,4.96,4.97,4.92,4.93,4.249546,168200
79,2019-04-25,4.88,4.89,4.86,4.86,4.189208,185300
80,2019-04-26,4.91,4.94,4.88,4.93,4.249546,310400
81,2019-04-29,4.98,5.06,4.96,5.04,4.3443629999999995,286100
82,2019-04-30,5.05,5.06,5.0,5.02,4.3271239999999995,279000
83,2019-05-01,5.04,5.04,4.98,5.01,4.318504,213600
84,2019-05-02,5.03,5.05,5.0,5.03,4.335744,108200
85,2019-05-03,5.05,5.08,5.04,5.05,4.352983,197000
86,2019-05-06,4.96,5.01,4.96,5.01,4.318504,292500
87,2019-05-07,5.04,5.05,4.98,4.99,4.301264,366100
88,2019-05-08,4.99,5.03,4.99,5.0,4.3098849999999995,144000
89,2019-05-09,4.95,4.97,4.92,4.96,4.275405,262800
90,2019-05-10,4.98,4.98,4.94,4.98,4.292644999999999,296500
91,2019-05-13,4.95,4.96,4.92,4.92,4.240926,231000
92,2019-05-14,5.55,6.01,5.49,6.0,5.171861,7458500
93,2019-05-15,6.01,6.06,5.98,5.99,5.163241,8112000
94,2019-05-16,6.15,6.27,6.14,6.21,5.352876,1921400
95,2019-05-17,6.13,6.17,6.1,6.1,5.258058999999999,1038500
96,2019-05-20,6.16,6.22,6.15,6.19,5.335637,290700
97,2019-05-21,6.41,6.54,6.36,6.52,5.620089,3063200
98,2019-05-22,6.46,6.46,6.42,6.44,5.551131,3168400
99,2019-05-23,6.38,6.45,6.38,6.4,5.516652,4308600
100,2019-05-24,6.36,6.38,6.15,6.22,5.361496,1890200
101,2019-05-28,6.24,6.26,6.05,6.16,5.3097769999999995,2633600
102,2019-05-29,6.27,6.32,6.2,6.31,5.439074,1470700
103,2019-05-30,6.45,6.61,6.44,6.46,5.568371,2609800
104,2019-05-31,6.44,6.57,6.43,6.5,5.602849,835200
105,2019-06-03,7.17,7.24,7.09,7.15,6.163135,1230400
106,2019-06-04,6.96,7.12,6.8,7.01,6.042458,1417100
107,2019-06-05,6.98,7.02,6.96,6.97,6.007979,2634500
108,2019-06-06,7.04,7.07,7.0,7.05,6.076937,1176800
109,2019-06-07,7.09,7.1,7.03,7.1,6.120036,523500
110,2019-06-10,7.11,7.14,7.07,7.12,6.137275,1761800
111,2019-06-11,7.21,7.22,7.16,7.19,6.197614,592200
112,2019-06-12,7.2,7.22,7.03,7.08,6.102796,268300
113,2019-06-13,7.21,7.23,7.19,7.21,6.214853,660300
114,2019-06-14,7.17,7.19,7.1,7.16,6.171754,320200
115,2019-06-17,7.15,7.19,7.08,7.09,6.111416,223100
116,2019-06-18,7.13,7.2,7.12,7.19,6.197614,868400
117,2019-06-19,7.2,7.24,7.19,7.23,6.232093,201300
118,2019-06-20,7.32,7.33,7.29,7.32,6.309671,478200
119,2019-06-21,7.25,7.27,7.16,7.19,6.197614,927600
120,2019-06-24,7.32,7.35,7.28,7.35,6.33553,444900
121,2019-06-25,7.28,7.33,7.25,7.3,6.292431,593100
122,2019-06-26,7.31,7.36,7.3,7.36,6.34415,308900
123,2019-06-27,7.36,7.36,7.3,7.3,6.292431,468100
124,2019-06-28,7.34,7.35,7.3,7.32,6.309671,144500
125,2019-07-01,7.83,7.84,7.7,7.71,6.645842,1514000
126,2019-07-02,7.7,7.73,7.68,7.69,6.628603,522900
127,2019-07-03,7.82,7.86,7.81,7.85,6.766518,737000
128,2019-07-05,7.83,7.86,7.76,7.81,6.732039,1098900
129,2019-07-08,7.74,7.81,7.74,7.75,6.680321000000001,429700
130,2019-07-09,7.8,7.81,7.75,7.77,6.69756,213600
131,2019-07-10,7.87,7.89,7.82,7.87,6.783758,443400
132,2019-07-11,7.78,7.8,7.73,7.79,6.7148,408400
133,2019-07-12,7.73,7.76,7.7,7.72,6.654461,375400
134,2019-07-15,7.72,7.73,7.56,7.59,6.5424050000000005,1881700
135,2019-07-16,7.49,7.51,7.43,7.5,6.464827,664900
136,2019-07-17,6.97,6.99,6.9,6.93,6.403924,561500
137,2019-07-18,6.88,6.92,6.84,6.92,6.394683000000001,549800
138,2019-07-19,6.87,6.89,6.78,6.81,6.293033,475300
139,2019-07-22,6.86,6.9,6.82,6.84,6.320755999999999,375600
140,2019-07-23,6.87,6.87,6.8,6.83,6.311515,244500
141,2019-07-24,6.75,6.76,6.64,6.64,6.1359379999999994,396000
142,2019-07-25,7.1,7.11,6.88,7.04,6.505573,3329100
143,2019-07-26,7.37,7.4,7.26,7.31,6.755077,802800
144,2019-07-29,7.41,7.42,7.35,7.4,6.838245,1538300
145,2019-07-30,7.41,7.43,7.35,7.41,6.847486,408800
146,2019-07-31,7.46,7.49,7.3,7.31,6.755077,1364400
147,2019-08-01,7.29,7.29,7.13,7.14,6.597982000000001,1281300
148,2019-08-02,7.01,7.02,6.91,6.97,6.440887,472600
149,2019-08-05,6.85,6.87,6.74,6.75,6.237588,2714900
150,2019-08-06,6.91,6.95,6.89,6.9,6.376201,250300
151,2019-08-07,6.89,6.98,6.87,6.97,6.440887,525400
152,2019-08-08,7.07,7.09,7.05,7.07,6.533296,266900
153,2019-08-09,7.03,7.07,6.95,6.99,6.459369000000001,341600
154,2019-08-12,6.95,6.98,6.94,6.97,6.440887,166100
155,2019-08-13,6.86,7.09,6.86,7.04,6.505573,145900
156,2019-08-14,6.8,6.88,6.8,6.85,6.3299970000000005,252300
157,2019-08-15,6.83,6.86,6.78,6.83,6.311515,681900
158,2019-08-16,6.75,6.77,6.67,6.68,6.172902,695000
159,2019-08-19,6.7,6.77,6.69,6.76,6.246829,207500
160,2019-08-20,6.89,6.94,6.84,6.91,6.385441999999999,233300
161,2019-08-21,7.0,7.0,6.95,6.97,6.440887,104200
162,2019-08-22,7.04,7.06,6.99,7.04,6.505573,739400
163,2019-08-23,6.93,7.0,6.85,6.85,6.3299970000000005,461200
164,2019-08-26,6.88,6.92,6.86,6.87,6.348478,219000
165,2019-08-27,6.72,6.75,6.64,6.7,6.191383,1077400
166,2019-08-28,6.76,6.82,6.73,6.81,6.293033,393000
167,2019-08-29,6.96,6.98,6.92,6.97,6.440887,302300
168,2019-08-30,6.94,6.95,6.86,6.89,6.36696,319800
169,2019-09-03,6.83,6.88,6.82,6.87,6.348478,106600
170,2019-09-04,7.01,7.04,6.98,7.04,6.505573,140700
171,2019-09-05,7.11,7.11,7.05,7.05,6.514814,177500
172,2019-09-06,7.03,7.1,7.02,7.08,6.542537,120600
173,2019-09-09,7.08,7.1,7.07,7.09,6.551778,346600
174,2019-09-10,7.08,7.15,7.05,7.05,6.514814,152400
175,2019-09-11,7.1,7.15,7.09,7.13,6.588741000000001,559000
176,2019-09-12,7.13,7.15,7.1,7.12,6.5795,76100
177,2019-09-13,7.15,7.17,7.13,7.14,6.597982000000001,229900
178,2019-09-16,7.23,7.31,7.22,7.29,6.7365949999999994,360100
179,2019-09-17,7.25,7.25,7.16,7.17,6.625705,116800
180,2019-09-18,7.19,7.22,7.14,7.18,6.634945,266400
181,2019-09-19,7.17,7.2,7.14,7.16,6.616464,82800
182,2019-09-20,7.1,7.17,7.09,7.12,6.5795,479200
183,2019-09-23,7.11,7.2,7.1,7.14,6.597982000000001,253000
184,2019-09-24,7.15,7.15,7.05,7.05,6.514814,215100
185,2019-09-25,7.0,7.06,6.97,7.05,6.514814,169400
186,2019-09-26,7.15,7.16,7.1,7.15,6.607222999999999,175000
187,2019-09-27,7.09,7.1,7.0,7.0,6.46861,279200
188,2019-09-30,6.95,6.96,6.9,6.9,6.376201,427200
189,2019-10-01,6.9,6.92,6.82,6.84,6.320755999999999,195600
190,2019-10-02,6.84,6.85,6.75,6.8,6.283792,108700
191,2019-10-03,6.76,6.85,6.74,6.81,6.293033,377900
192,2019-10-04,6.82,6.84,6.79,6.81,6.293033,126500
193,2019-10-07,6.9,6.95,6.89,6.91,6.385441999999999,193400
194,2019-10-08,6.78,6.82,6.75,6.78,6.265311,469400
195,2019-10-09,6.82,6.85,6.8,6.8,6.283792,432200
196,2019-10-10,6.88,6.92,6.86,6.9,6.376201,144000
197,2019-10-11,7.01,7.02,7.0,7.01,6.477851,46600
198,2019-10-14,7.0,7.0,6.94,6.95,6.422405,319200
199,2019-10-15,6.94,7.0,6.9,6.96,6.431646,272800
200,2019-10-16,7.01,7.06,7.0,7.03,6.496333,434600
201,2019-10-17,7.04,7.08,7.02,7.06,6.524055000000001,290200
202,2019-10-18,7.06,7.09,7.03,7.07,6.533296,422400
203,2019-10-21,7.09,7.13,7.08,7.13,6.588741000000001,241700
204,2019-10-22,7.25,7.36,7.24,7.31,6.755077,426700
205,2019-10-23,7.28,7.4,7.26,7.38,6.819763000000001,684200
206,2019-10-24,7.5,7.56,7.49,7.55,6.976858,982800
207,2019-10-25,7.59,7.71,7.59,7.71,7.124712,1496100
208,2019-10-28,7.68,7.71,7.55,7.58,7.004580000000001,2103900
209,2019-10-29,7.84,7.87,7.76,7.82,7.226361,1458300
210,2019-10-30,8.17,8.19,8.07,8.14,7.522069,4733300
211,2019-10-31,8.17,8.17,7.97,8.01,7.401938,3543200
212,2019-11-01,8.18,8.27,8.17,8.25,7.623719,3680300
213,2019-11-04,8.28,8.3,8.23,8.27,7.642200999999999,699400
214,2019-11-05,8.25,8.28,8.17,8.25,7.623719,567900
215,2019-11-06,8.25,8.31,8.21,8.23,7.605237,657000
216,2019-11-07,8.46,8.5,8.34,8.43,7.790055000000001,2786400
217,2019-11-08,8.26,8.3,8.22,8.29,7.660682,210100
218,2019-11-11,8.13,8.17,8.1,8.12,7.503587,308700
219,2019-11-12,7.99,8.02,7.91,7.92,7.31877,212100
220,2019-11-13,7.81,7.84,7.78,7.81,7.2171199999999995,143200
221,2019-11-14,7.6,7.81,7.59,7.69,7.10623,344300
222,2019-11-15,7.75,7.8,7.73,7.77,7.180157,157300
223,2019-11-18,7.7,7.73,7.66,7.7,7.115469999999999,91100
224,2019-11-19,7.73,7.78,7.65,7.73,7.143192999999999,302200
225,2019-11-20,7.72,7.81,7.7,7.8,7.20788,680900
226,2019-11-21,8.01,8.1,7.95,8.08,7.466624,364000
227,2019-11-22,7.93,7.93,7.82,7.87,7.272564999999999,221600
228,2019-11-25,7.93,7.96,7.91,7.95,7.346492,187100
229,2019-11-26,7.88,8.01,7.83,7.83,7.235602,648100
230,2019-11-27,7.9,7.93,7.87,7.92,7.31877,116000
231,2019-11-29,7.95,7.97,7.92,7.93,7.328011,146100
232,2019-12-02,7.99,7.99,7.78,7.81,7.2171199999999995,4658800
233,2019-12-03,7.69,7.71,7.65,7.7,7.115469999999999,504200
234,2019-12-04,7.76,7.8,7.71,7.74,7.1524339999999995,166500
235,2019-12-05,7.64,7.68,7.61,7.67,7.0877479999999995,218800
236,2019-12-06,7.68,7.74,7.67,7.73,7.143192999999999,276100
237,2019-12-09,7.75,7.76,7.7,7.74,7.1524339999999995,241900
238,2019-12-10,7.72,7.74,7.69,7.7,7.115469999999999,804400
239,2019-12-11,7.72,7.76,7.66,7.75,7.161675,1136900
240,2019-12-12,7.9,7.99,7.87,7.89,7.291047,436600
241,2019-12-13,7.89,7.94,7.82,7.88,7.281806,182500
242,2019-12-16,7.97,8.0,7.96,7.98,7.3742149999999995,226700
243,2019-12-17,8.01,8.03,7.98,8.02,7.411179,688300
244,2019-12-18,8.0,8.0,7.92,7.96,7.355733,278100
245,2019-12-19,7.95,8.03,7.94,8.03,7.420419,138400
246,2019-12-20,8.18,8.22,8.15,8.21,7.586755,303100
247,2019-12-23,8.11,8.19,8.1,8.18,7.559033,485600
248,2019-12-24,8.18,8.22,8.16,8.18,7.559033,58700
249,2019-12-26,8.22,8.22,8.13,8.17,7.549792,153500
250,2019-12-27,8.26,8.28,8.23,8.23,7.605237,365800
251,2019-12-30,8.28,8.29,8.12,8.16,7.540551,302500
252,2019-12-31,8.16,8.24,8.16,8.22,7.595996,88000
