,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-12-31,4.45,4.5,4.43,4.48,4.238869,8827700
1,2019-01-02,4.4,4.53,4.4,4.51,4.2672550000000005,8905500
2,2019-01-03,4.55,4.58,4.52,4.55,4.305102,6186700
3,2019-01-04,4.7,4.75,4.68,4.72,4.4659510000000004,6432200
4,2019-01-07,4.75,4.82,4.73,4.78,4.522722,6737000
5,2019-01-08,4.83,4.84,4.78,4.81,4.551107,4158600
6,2019-01-09,4.82,4.85,4.79,4.82,4.560569,4264100
7,2019-01-10,4.85,4.9,4.84,4.88,4.61734,5038800
8,2019-01-11,4.87,4.93,4.85,4.9,4.636263,14537300
9,2019-01-14,4.8,4.93,4.8,4.89,4.626801,6490800
10,2019-01-15,4.84,4.87,4.81,4.87,4.6078779999999995,5787800
11,2019-01-16,4.87,4.93,4.86,4.92,4.655187000000001,4991000
12,2019-01-17,4.86,4.91,4.83,4.87,4.6078779999999995,5018800
13,2019-01-18,4.93,4.98,4.89,4.97,4.702495,6133100
14,2019-01-22,4.87,4.91,4.86,4.88,4.61734,8876100
15,2019-01-23,4.96,4.97,4.92,4.94,4.67411,5515800
16,2019-01-24,4.91,4.94,4.87,4.93,4.664649,3732600
17,2019-01-25,4.96,5.03,4.96,5.02,4.749804,4231700
18,2019-01-28,4.96,5.01,4.94,4.98,4.711957,5820200
19,2019-01-29,4.96,4.99,4.93,4.95,4.683571,3862900
20,2019-01-30,4.79,4.85,4.76,4.8,4.611121,6021600
21,2019-01-31,4.7,4.75,4.68,4.74,4.553482,8136500
22,2019-02-01,4.65,4.7,4.63,4.66,4.476629,7364000
23,2019-02-04,4.59,4.67,4.58,4.65,4.467023,8306000
24,2019-02-05,4.69,4.72,4.65,4.71,4.524662,8438600
25,2019-02-06,4.69,4.73,4.68,4.7,4.5150559999999995,5518400
26,2019-02-07,4.61,4.62,4.53,4.56,4.380565,8576900
27,2019-02-08,4.52,4.54,4.47,4.53,4.351744999999999,8787800
28,2019-02-11,4.54,4.55,4.51,4.52,4.342137999999999,14384100
29,2019-02-12,4.57,4.6,4.51,4.54,4.361351,12159300
30,2019-02-13,4.54,4.57,4.52,4.53,4.351744999999999,5152900
