,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-11-07,12.75,13.25,12.25,12.52,12.52,921300
1,2019-11-08,12.78,13.25,12.67,13.02,13.02,187400
2,2019-11-11,13.05,13.74,13.05,13.4,13.4,135700
3,2019-11-12,13.51,13.69,13.3,13.55,13.55,81000
4,2019-11-13,13.61,14.99,13.55,14.45,14.45,237600
5,2019-11-14,14.85,16.719998999999998,14.83,15.35,15.35,693300
6,2019-11-15,15.59,16.17,15.0,15.1,15.1,277000
7,2019-11-18,15.5,15.725,14.85,15.69,15.69,124900
8,2019-11-19,15.65,16.9,15.3,16.09,16.09,180300
9,2019-11-20,16.200001,16.370001000000002,15.61,16.24,16.24,168500
10,2019-11-21,16.34,16.719998999999998,16.200001,16.43,16.43,106300
11,2019-11-22,16.26,16.26,15.513,15.67,15.67,97600
12,2019-11-25,15.7,15.98,13.95,15.35,15.35,212200
13,2019-11-26,15.29,15.97,14.9,15.95,15.95,77300
14,2019-11-27,15.82,16.049999,15.638,16.049999,16.049999,83400
15,2019-11-29,15.98,16.52,15.79,16.42,16.42,61000
16,2019-12-02,16.549999,16.950001,15.5,16.02,16.02,103800
17,2019-12-03,15.82,15.82,15.25,15.44,15.44,73700
18,2019-12-04,15.37,15.64,15.05,15.17,15.17,47100
19,2019-12-05,15.52,15.6,14.9,15.5,15.5,59100
20,2019-12-06,15.38,15.6,14.937,15.15,15.15,47100
21,2019-12-09,15.15,15.75,15.14,15.32,15.32,58200
22,2019-12-10,15.2,15.75,14.81,15.75,15.75,68900
23,2019-12-11,15.43,15.69,15.27,15.43,15.43,73600
24,2019-12-12,15.5,16.200001,15.5,15.61,15.61,160000
25,2019-12-13,15.73,16.103001000000003,15.73,16.02,16.02,55500
26,2019-12-16,16.0,16.18,15.79,16.139999,16.139999,129100
27,2019-12-17,16.09,16.389999,15.93,16.389999,16.389999,145900
28,2019-12-18,16.42,16.469998999999998,16.003,16.26,16.26,123500
29,2019-12-19,16.049999,16.440001000000002,16.049999,16.26,16.26,99200
30,2019-12-20,16.450001,16.450001,15.72,15.91,15.91,520700
31,2019-12-23,15.97,16.15,15.33,15.67,15.67,85600
32,2019-12-24,15.74,15.98,15.65,15.82,15.82,13700
33,2019-12-26,15.81,15.83,15.39,15.55,15.55,34200
34,2019-12-27,15.65,15.65,15.44,15.57,15.57,27800
35,2019-12-30,15.61,16.01,15.5,15.95,15.95,23600
36,2019-12-31,16.0,16.049999,15.58,15.91,15.91,63900
