,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-12-31,6.52,6.62,6.46,6.51,5.989626,3010400
1,2019-01-02,6.45,6.71,6.44,6.7,6.164438,1645200
2,2019-01-03,6.66,6.69,6.59,6.62,6.090833,1919500
3,2019-01-04,6.75,7.02,6.74,6.97,6.412856,2927700
4,2019-01-07,6.94,7.05,6.91,6.96,6.403656,2353900
5,2019-01-08,6.99,7.04,6.94,6.99,6.431257,1581700
6,2019-01-09,7.01,7.04,6.96,7.0,6.4404580000000005,1140700
7,2019-01-10,7.0,7.15,7.0,7.09,6.523264,1356700
8,2019-01-11,7.1,7.19,7.0,7.15,6.578467999999999,5643000
9,2019-01-14,7.12,7.2,7.08,7.16,6.587667999999999,3819600
10,2019-01-15,7.16,7.22,7.13,7.15,6.578467999999999,1775200
11,2019-01-16,7.17,7.19,7.14,7.15,6.578467999999999,1367300
12,2019-01-17,7.14,7.21,7.12,7.19,6.615271000000001,1669800
13,2019-01-18,7.2,7.29,7.19,7.24,6.661274000000001,2176000
14,2019-01-22,7.19,7.22,7.14,7.16,6.587667999999999,2900800
15,2019-01-23,7.2,7.25,7.14,7.21,6.633672,1719800
16,2019-01-24,7.27,7.34,7.25,7.3,6.7164779999999995,1443700
17,2019-01-25,7.37,7.41,7.35,7.36,6.771682000000001,1107100
18,2019-01-28,7.31,7.4,7.3,7.35,6.762481,2852200
19,2019-01-29,7.41,7.45,7.37,7.37,6.780882000000001,1526300
20,2019-01-30,7.4,7.47,7.37,7.43,6.836086,1488000
21,2019-01-31,7.43,7.49,7.4,7.44,6.845287,1622100
22,2019-02-01,7.28,7.33,7.26,7.26,6.679676,1449400
23,2019-02-04,7.26,7.29,7.21,7.28,6.6980770000000005,909700
24,2019-02-05,7.26,7.27,7.24,7.24,6.661274000000001,1077500
25,2019-02-06,7.25,7.27,7.23,7.25,6.670475,933300
26,2019-02-07,7.16,7.17,7.08,7.11,6.541665,895000
27,2019-02-08,7.05,7.09,7.0,7.06,6.495662,914800
28,2019-02-11,7.07,7.09,7.05,7.07,6.504862999999999,1180500
29,2019-02-12,7.15,7.21,7.13,7.18,6.60607,1050800
30,2019-02-13,7.19,7.24,7.18,7.19,6.615271000000001,622000
31,2019-02-14,7.18,7.18,7.12,7.13,6.560067,669000
32,2019-02-15,7.2,7.28,7.2,7.26,6.679676,935200
33,2019-02-19,7.3,7.36,7.29,7.34,6.753280999999999,738900
34,2019-02-20,7.31,7.38,7.31,7.35,6.762481,899400
35,2019-02-21,7.31,7.31,7.25,7.27,6.688876,685600
36,2019-02-22,7.26,7.29,7.24,7.27,6.688876,729300
37,2019-02-25,7.25,7.3,7.23,7.24,6.661274000000001,1005400
38,2019-02-26,7.2,7.27,7.2,7.22,6.6428720000000006,817800
39,2019-02-27,7.2,7.22,7.16,7.2,6.624471000000001,925200
40,2019-02-28,7.16,7.2,7.13,7.14,6.569267,913400
41,2019-03-01,7.19,7.2,7.14,7.14,6.569267,837500
42,2019-03-04,7.17,7.18,7.06,7.1,6.532465,1350500
43,2019-03-05,7.12,7.2,7.11,7.16,6.587667999999999,1503700
44,2019-03-06,7.15,7.16,7.09,7.1,6.532465,1048100
45,2019-03-07,7.02,7.02,6.92,6.93,6.376053,746800
46,2019-03-08,6.87,6.92,6.87,6.91,6.357652,972000
47,2019-03-11,6.96,7.01,6.95,6.97,6.412856,1497500
48,2019-03-12,7.01,7.02,6.98,7.0,6.4404580000000005,1051600
49,2019-03-13,7.03,7.1,7.01,7.08,6.514063,1074200
50,2019-03-14,7.06,7.1,7.02,7.07,6.504862999999999,718000
51,2019-03-15,7.12,7.17,7.11,7.14,6.569267,968300
52,2019-03-18,7.15,7.21,7.15,7.2,6.624471000000001,702900
53,2019-03-19,7.25,7.29,7.21,7.22,6.6428720000000006,1117100
54,2019-03-20,7.23,7.27,7.2,7.2,6.624471000000001,989800
55,2019-03-21,7.21,7.25,7.19,7.22,6.6428720000000006,1177900
56,2019-03-22,7.21,7.22,7.09,7.09,6.523264,1580200
57,2019-03-25,7.04,7.14,7.04,7.09,6.523264,1395000
58,2019-03-26,7.16,7.23,7.16,7.2,6.624471000000001,1111900
59,2019-03-27,7.2,7.27,7.18,7.2,6.624471000000001,1037900
60,2019-03-28,7.08,7.1,7.05,7.1,6.696217,844900
61,2019-03-29,7.05,7.07,7.01,7.03,6.630198,927600
62,2019-04-01,7.11,7.21,7.11,7.2,6.79053,1217700
63,2019-04-02,7.21,7.26,7.21,7.25,6.837687,1046500
64,2019-04-03,7.28,7.31,7.25,7.27,6.856549,1432200
65,2019-04-04,7.25,7.32,7.25,7.3,6.884842999999999,1145700
66,2019-04-05,7.3,7.31,7.27,7.28,6.865981,598300
67,2019-04-08,7.24,7.26,7.24,7.25,6.837687,1784900
68,2019-04-09,7.2,7.2,7.15,7.15,6.743374,1285200
69,2019-04-10,7.16,7.17,7.11,7.14,6.733942,918800
70,2019-04-11,7.07,7.08,7.02,7.03,6.630198,915600
71,2019-04-12,7.11,7.17,7.08,7.12,6.71508,1098200
72,2019-04-15,7.12,7.15,7.08,7.1,6.696217,3964000
73,2019-04-16,7.15,7.2,7.14,7.15,6.743374,5616700
74,2019-04-17,7.21,7.31,7.21,7.28,6.865981,1709100
75,2019-04-18,7.31,7.36,7.29,7.31,6.894274,1043200
76,2019-04-22,7.27,7.28,7.22,7.24,6.828255,1116800
77,2019-04-23,7.23,7.29,7.23,7.25,6.837687,1044300
78,2019-04-24,7.21,7.21,7.13,7.13,6.724511,750800
79,2019-04-25,7.15,7.19,7.13,7.14,6.733942,1317300
80,2019-04-26,7.18,7.28,7.18,7.26,6.847117999999999,1009000
81,2019-04-29,7.22,7.33,7.22,7.29,6.875412,718000
82,2019-04-30,7.29,7.31,7.26,7.29,6.875412,820400
83,2019-05-01,7.29,7.34,7.25,7.26,6.847117999999999,898500
84,2019-05-02,7.24,7.29,7.23,7.26,6.847117999999999,784200
85,2019-05-03,7.28,7.33,7.28,7.32,6.903706,653400
86,2019-05-06,7.19,7.27,7.18,7.25,6.837687,983700
87,2019-05-07,7.21,7.26,7.17,7.19,6.781099,1175400
88,2019-05-08,7.15,7.22,7.15,7.19,6.781099,1046400
89,2019-05-09,7.08,7.13,7.04,7.11,6.705647999999999,1529600
90,2019-05-10,7.08,7.11,7.01,7.09,6.686786,1476800
91,2019-05-13,6.97,7.0,6.89,6.91,6.517023,1288300
92,2019-05-14,6.97,7.04,6.95,6.99,6.592473,1439900
93,2019-05-15,7.0,7.12,6.97,7.04,6.639628999999999,974800
94,2019-05-16,7.02,7.12,7.02,7.07,6.667922999999999,1955300
95,2019-05-17,7.02,7.09,6.98,6.98,6.583042,1666900
96,2019-05-20,7.01,7.04,6.97,6.98,6.583042,1338600
97,2019-05-21,7.0,7.04,6.96,7.02,6.620767,1242400
