,Unnamed: 0,Time,Text,Sentiment
0,0,2018-12-31 23:59:56+00:00,"our latest podcast out. our tech predictions the impromptu video microsoft apple, sony, more. will facebook get hit massive gdpr fine? and a deep dissection how facebook moderates platform. podcast technology","[54.60484678572467, 49.142445440554816]"
1,1,2020-10-02 16:00:07+00:00,"could pseg exelon monopolize nj energy market? yes, in effort get more your money learn their latest act corporate greed in new jersey.","[5.718777580654863, 43.62704595752874]"
2,2,2018-12-31 23:59:55+00:00,"yummy eats ready, drink made, apple crumble pie oven about take my family in a game monopoly wouldn’t want spend new years eve other way","[26.49741040805195, 66.1136778770788]"
3,3,2018-12-31 23:59:48+00:00,continues sip apple juice. this shinigami mad.,"[33.58669428842747, 23.727138450672307]"
4,4,2018-12-31 23:59:47+00:00,apple looks india stem decline iphone sales – ee times,"[21.97732981230148, 19.48925265994586]"
5,5,2018-12-31 23:59:46+00:00,apple looks india stem decline iphone sales – ee times,"[21.97732981230148, 19.48925265994586]"
6,6,2018-12-31 23:59:45+00:00,apple looks india stem decline iphone sales – ee times,"[21.97732981230148, 19.48925265994586]"
7,7,2018-12-31 23:59:39+00:00,itsjustal nigga i ain’t talked in damn near two years. ion care none that what’s yo apple pay,"[47.109958788956256, 12.022855761858798]"
8,8,2018-12-31 23:59:39+00:00,realdonaldtrump enjoy apple watch exploiting incapacitated elderly parents,"[-2.8229767975661657, -3.9121078830643388]"
9,9,2018-12-31 23:59:31+00:00,apple looks india stem decline iphone sales – ee times,"[21.97732981230148, 19.48925265994586]"
10,10,2018-12-31 23:59:31+00:00,apple looks india stem decline iphone sales – ee times,"[21.97732981230148, 19.48925265994586]"
11,11,2019-01-01 23:59:56+00:00,plsgib apple juice,"[-0.1527745693937519, 8.65027458298229]"
12,12,2020-09-03 18:26:48+00:00,"lenovo legion x playapex now your chance rise the rest. unmatched performance, purposeful engineering, modern design. gear with machine savage you are. stylish outside. savage inside.","[75.1630887480833, 54.2806501932506]"
13,13,2019-01-01 23:59:52+00:00,apple patents depict three new products that could transform tech brand,"[18.325026517584657, 18.898239077089652]"
14,14,2019-01-01 23:59:49+00:00,armorsuit apple watch screen protector review series via youtube,"[14.224064678228327, 5.567092751005125]"
