,Unnamed: 0,Time,Text,Sentiment
0,0,2018-12-31 23:59:56+00:00,i liked youtube video disney channel stars who fallen from grace,"[16.8140552915785, 25.247182873556174]"
1,1,2018-12-31 23:59:47+00:00,think i just stay home watch classic disney movies,"[-7.56998209930759, 5.142354329918922]"
2,2,2018-12-31 23:59:44+00:00,the fuck disney,"[-1.1805656596147582, -1.4798004250861665]"
3,3,2018-12-31 23:59:38+00:00,shfan shadowhunterstv freeformtv disneystudios disney disneydn disneyabctv well have dark hair &amp; mine sometimes red,"[-3.5443288333985334, -3.2328648758388514]"
4,4,2018-12-31 23:59:30+00:00,i’d like mcu true teen spider/peter they didn’t make pseudo miles many said or a faux robin/dick grayson a billionaire trainer/mentor/suit maker/intro large hero team spiderverse intro peter b. parker &gt;&gt;&gt;&gt;&gt; anything disney do w/,"[59.444278690077034, 52.169391672664354]"
5,5,2018-12-31 23:59:28+00:00,chipsandgist disney. apple. amazon. might be same it opens new lane. but definitely disney. these three the ones the deep pockets the will.,"[38.226439802744444, 30.10842277204056]"
6,6,2018-12-31 23:59:24+00:00,illuminations reflections earth the last time year ️ epcot walt disney world,"[-2.6061728306411025, 6.705564943410243]"
7,7,2018-12-31 23:59:20+00:00,and two could described the king queen religious hate sponsored aenetworks disney. what benevolent lot.,"[5.759543733196769, 31.604998975603078]"
8,8,2018-12-31 23:59:16+00:00,disney giving free air horns their theme parks the worst decision i’ve seen make a long ass time.,"[24.11731017749729, 9.784882940000903]"
9,9,2018-12-31 23:59:10+00:00,"comic news fantagraphics march solicitations disney, hernandez, more.","[10.476119638633524, 21.258453950601723]"
10,10,2018-12-31 23:59:02+00:00,ringing the new year working i cried minutes the break room everything fine. mkcast unforgettablecast magickingdom disney magic kingdom,"[3.4907384630676335, 6.606602634028809]"
11,11,2019-01-01 23:59:55+00:00,life good this on disney channel,"[-1.214379879893069, -2.3530268065556843]"
12,12,2019-01-01 23:59:54+00:00,"disney looking a technology sourcing associate graduate internship, corporate fa , apply lakebuenavista job disneyjobs","[34.520269421197284, 32.99059169122143]"
13,13,2019-01-01 23:59:44+00:00,i liked youtube video disney world,"[-1.3863960041276642, -3.8371336339645]"
14,14,2019-01-01 23:59:39+00:00,disney keeps booting off wifi it know im talking pepis,"[5.586304767070051, 8.626454434194924]"
15,15,2019-01-01 23:59:36+00:00,vickitoriana lafamiliaingham ukfamilyfirst chickadee disneydadsuk madambu sarahlucyf disney uk i worked lots autistic children. friends autistic children. youre making look ridiculous so pedantic,"[12.144478664415534, 22.526144183256154]"
16,16,2019-01-01 23:59:33+00:00,watching disney movies feeling sad hello s going,"[-8.091363634748998, 6.648840529133237]"
17,17,2019-01-01 23:59:29+00:00,toy story the best disney movie. i not debate this.,"[8.970250067202503, 17.90615991250029]"
18,18,2019-01-01 23:59:26+00:00,i liked youtube video hide and seek at disney hotel and resort sophia sarah,"[40.15267824290603, 50.45094359724951]"
19,19,2019-01-01 23:59:19+00:00,"kristina blueeyedevil uptotask true, this also assuming there even still is hulu isn’t turned disney , with having that controlling majority the stock.","[18.7940548032572, 32.09707659824813]"
20,20,2019-01-01 23:59:18+00:00,"""i bad, that good. i never good, that not bad. there no one i rather than me."" thank you, disney, all beautiful messages spread across world. ️","[8.99545524128526, 34.49034305886554]"
21,21,2019-01-01 23:59:18+00:00,"say you about mary poppins returns, despite attempts straightwashing disney made jane banks a lesbian icon that the content deserve","[64.58322580586783, 45.89368178037518]"
22,22,2019-01-02 23:59:42+00:00,disney movies,"[-1.7244721538450023, -1.9983891113321184]"
23,23,2019-01-02 23:59:40+00:00,i added video a youtube playlist early night live indiana jones disney’s hollywood studios,"[29.51962373864811, 48.798369973830084]"
24,24,2019-01-02 23:59:25+00:00,i liked youtube video early night live indiana jones disney’s hollywood studios,"[20.181128393910097, 27.33549810415317]"
