,Unnamed: 0,Time,Text,Sentiment
0,0,2018-12-31 23:59:56+00:00,"our latest podcast out. our tech predictions the impromptu video microsoft apple, sony, more. will facebook get hit massive gdpr fine? and a deep dissection how facebook moderates platform. podcast technology","[54.60484678572467, 49.142445440554816]"
1,1,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.93762458446804, 55.318903464494745]"
2,2,2018-12-31 23:59:04+00:00,new ebay microsoft xbox one s gb white console,"[38.79893531132588, 38.6398480594783]"
3,3,2018-12-31 23:58:46+00:00,jrno microsoft xbox bethesdastudios fallout xboxsupport the point anyways that charge backs get account banned. so a warning.,"[60.08953650904042, 44.52978302876057]"
4,4,2018-12-31 23:58:35+00:00,windowscentral why make articles device specific? why just say windows tablet laptop doesn have ethernet port??? you receive cheque microsoft time mention devices what?,"[46.15828019418061, 41.02952692569995]"
5,5,2018-12-31 23:58:00+00:00,"see signal alliance, microsoft, cisco teaming to help enterprises nigeria improve profitability azure stack","[31.384420555266875, 31.33649108575989]"
6,6,2018-12-31 23:57:57+00:00,avalanchetwitch dawgg got microsoft powerpoint webcam,"[31.55300988361815, 22.62997060542102]"
7,7,2018-12-31 23:57:55+00:00,"need wake call , i sick microsoft shit , have gotten away pissing off screwing over far long , time something done soon satisfy someone someone please , i be successful something t get my way","[29.225689190357304, 29.23199387766275]"
8,8,2018-12-31 23:57:48+00:00,"join microsoft graph security hackathon use microsoft graph security api solve challenges integrating different solutions, tools, intelligence. , cash prize pool for grabs. graphsecurityhackathon","[105.27790934409491, 74.49554758249784]"
9,9,2018-12-31 23:57:44+00:00,"davekawula sifusun microsoft veeam mvpdays thank for support i hope had happy christmas will a fantastic new year, happy holidays","[37.99261104065217, 36.9872125280311]"
10,10,2018-12-31 23:57:10+00:00,devops overview microsoft azure,"[9.10902772692251, 9.898469750966079]"
11,11,2019-01-01 23:59:44+00:00,new job business sales specialist jobs bc vancouver sale company microsoft location bur,"[47.31518125475035, 57.416426352344494]"
12,12,2020-09-03 18:26:48+00:00,"lenovo legion x playapex now your chance rise the rest. unmatched performance, purposeful engineering, modern design. gear with machine savage you are. stylish outside. savage inside.","[75.1630887480833, 54.2806501932506]"
13,13,2019-01-01 23:59:42+00:00,"microsoft xboxsupport xbox i’d like know i would need buy prepaid card renew membership middle december i already paid renew the rd, shown on this heavily censored card statement. i wouldn’t, bc i didn’t.. wtf?","[86.56725310580508, 46.45303348123105]"
14,14,2019-01-01 23:59:41+00:00,help get first ever montage views would mean world mixerstreamersunite lionsdenmixer ignore tags xbox microsoft…,"[41.191310847889206, 31.62937741592413]"
15,15,2019-01-01 23:59:05+00:00,"tln’s creator saying studio “massive business, legal &amp; funding issues” sounds lot like “microsoft pulled plug i publicly hate women”.","[72.87363943348004, 27.272750972828238]"
