,Unnamed: 0,Time,Text,Sentiment
0,0,2018-12-31 23:56:07+00:00,santander,"[-1.163827870224604, -0.3743858461810367]"
1,1,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.93762458446804, 55.318903464494745]"
2,2,2018-12-31 23:55:48+00:00,santander,"[-1.163827870224604, -0.3743858461810367]"
3,3,2018-12-31 23:53:57+00:00,santander,"[-1.163827870224604, -0.3743858461810367]"
4,4,2018-12-31 23:53:12+00:00,santander,"[-1.163827870224604, -0.3743858461810367]"
5,5,2018-12-31 23:38:31+00:00,santander,"[-1.163827870224604, -0.3743858461810367]"
6,6,2018-12-31 23:35:21+00:00,santander account management project management,"[31.645533252515296, 31.759454749567627]"
7,7,2018-12-31 23:30:29+00:00,"popeyeschicken i don’t know what’s going store bellaire, i tried pay with mastercard santander i saw the girl use card touched enter, enter... without asked for my pin number. for reason, she said my card wasn’t accepted.","[37.61435558507204, 34.932912958648394]"
8,8,2018-12-31 23:11:49+00:00,memorias workshop red emprendesur en universidad de santander,"[9.806688984690897, 19.320511971195593]"
9,9,2018-12-31 23:02:00+00:00,news flagstar bank acquire santander bank mortgage warehouse loan portfolio,"[32.92859941092947, 21.685800492263464]"
10,10,2018-12-31 22:37:17+00:00,where you january th? less two weeks away biggest names motorcycle quad ice racing be shredding ice the santander arena don’t miss the hottest night racing a halftime pyro stunt show the...,"[49.932955991005606, 61.8544072737614]"
11,11,2019-01-01 23:22:52+00:00,santander antiguo,"[-1.163827870224604, -0.3743858461810367]"
12,12,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.93762458446804, 55.318903464494745]"
13,13,2019-01-01 23:03:04+00:00,new years days farce.. fact.. money went santander .pm tonight thats normal its wrong,"[16.0398782866576, 6.726683704131366]"
14,14,2019-01-01 22:48:03+00:00,erste grp bk a/s otcmkts ebkdy banco santander san critical review – baseball daily news – santander bank,"[39.8896395789118, 30.861691891150723]"
15,15,2019-01-01 22:45:05+00:00,the latest el diario de amanoticias thanks gaby santander o alexndr historias perunews,"[-0.2176068156548283, 25.13445971799203]"
16,16,2019-01-01 22:24:11+00:00,"fantastic, santander said s fraudulent transaction attempted otherwise made my account. no pending transactions, etc.","[52.40944763933313, 44.48376265313835]"
17,17,2019-01-01 22:20:05+00:00,cheshirexrp famemoore paisan hameggsn xrpboss isn’t santander going live month?,"[-2.4281082232357525, -1.653423312629423]"
18,18,2019-01-01 22:13:24+00:00,a series technical analyses random guesses suggest consider selling santander consumer usa inc. sc invest,"[52.272391845580664, 63.11882681906918]"
19,19,2019-01-01 22:09:28+00:00,"golden hour en santander, colombia","[30.513821015420834, 22.361706618826336]"
20,20,2019-01-01 22:02:58+00:00,santander y “los malandrines follones”,"[-1.5541809544232035, -0.05396509625097873]"
21,21,2019-01-01 21:37:19+00:00,karadidomizio kalitravel pennycoffee sundaysunsets roarloudtravel alwaysstar cant infinita latierruca north spain so beautiful karadidomizio spend part the year santander cantabria i still dont get used it... amazing,"[6.927130216442952, 15.369644516058463]"
22,22,2019-01-02 23:53:28+00:00,"anticipated . eps banco santander chile bsac of january, – the en bulletin – santander bank","[31.172769240476686, 21.830462052763504]"
23,23,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.93762458446804, 55.318903464494745]"
24,24,2019-01-02 23:40:07+00:00,"bound together our beliefs are like minded individuals sharing common visión a great friend. en bucaramanga, santander","[11.860063161821433, 26.344261273000942]"
25,25,2019-01-02 23:13:20+00:00,santanderukhelp hi i’m looking switching lite account. does alliance leicester mortgage count a santander mortgage get cash back it? thank,"[74.9969111218069, 31.496147203524746]"
26,26,2019-01-02 23:00:17+00:00,"santander been sending letters months offering balance transfers i thought lemme give a try. not me transfer existing balance, to transfer balances to i already have. sellouts.","[46.701874891436084, 83.18920970640644]"
27,27,2019-01-02 22:37:50+00:00,"rowanwcroft renuagalwayeast santander northern spain has ferry route cork, vehicles","[32.21069161334413, 34.0469878562036]"
28,28,2019-01-02 22:37:04+00:00,santander online again,"[-3.5662420436477182, -1.4197908724844075]"
29,29,2019-01-02 22:35:09+00:00,scanx notable movers interest banco santander brasil bsbr pushes two month highs brazilian stocks...,"[10.365353141578314, 10.113909039943254]"
30,30,2019-01-02 22:34:48+00:00,"the best coffee ️ the best cup halamadrid realmadrid marcelom sergioramos bucaramanga, santander","[0.15473695672321663, 5.109883969077734]"
31,31,2019-01-02 22:32:48+00:00,"askbankofscot trying use new open banking support app can add account. looks like redirect back santander t take back the bofs app, it fails i only logged the app – s ""login required"" in the url. can advise?","[52.55120440750343, 62.09609969082363]"
32,32,2019-01-02 22:23:14+00:00,santander business online banking wednesdaywisdom blog article business onlinebanking tips technology,"[26.91728840402587, 59.06686207320577]"
33,33,2019-01-03 23:58:59+00:00,al bate anthony santander | tigres – leones | inning | out |,"[6.361832567074768, 3.2676647378998407]"
34,34,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.93762458446804, 55.318903464494745]"
35,35,2019-01-03 23:48:49+00:00,ji mgt alisonmckay vo levytracyl coachbriancan pmgweb about wee cafe next old santander building has small upstairs section. university cafe im fine,"[59.69776139769822, 51.37075306626627]"
36,36,2019-01-03 23:42:06+00:00,"rosalinda rodriguez takes liliana martinez the uba bantamweight title saturday, january th santander arena reading, pa","[44.01123230127866, 55.3758149770945]"
37,37,2019-01-03 23:37:38+00:00,it incredibly easy earn referring friends family to santander bank.,"[24.471820177026746, 22.809901457230016]"
38,38,2019-01-03 23:29:40+00:00,so today learned santander a spanish bank...who hour ahead nis time zone...which means get paid hour midnight payday ??? how haven’t i noticed before ??? so fascinated,"[50.77282317978953, 28.981100391996566]"
39,39,2019-01-03 23:21:41+00:00,he comido el . santander,"[-0.4126397041278118, 0.744175610524328]"
40,40,2019-01-03 23:14:37+00:00,. santander,"[-1.0275302895128153, 0.09403171800190152]"
41,41,2019-01-03 23:02:27+00:00,melinagzl estefanira logic,"[8.926706170128556, 9.716148194172124]"
42,42,2019-01-03 22:42:28+00:00,"bettingtips blogabet betscore freetips ️ ️ ️ liga santander ️villarreal cf r. madrid . over . goals / . corner / , uds","[59.93136364633207, 36.810958116063006]"
43,43,2019-01-03 22:41:06+00:00,bettingtips blogabet betscore freetips ️ ️ ️ liga santander ️villarreal cf r. madrid . over corners ah sthalf / . over cards ah / . madrid over . corners / . over . corners / . uds,"[71.63034579553162, 47.02461456162474]"
44,44,2019-01-04 23:55:00+00:00,"colmtobin a years ago did santander, bilbao san sebastián. santander nice our least favourite three there wasn’t much do bad weather. loved the other two that part spain stunning.","[24.304083440408665, 20.7092100120579]"
45,45,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.93762458446804, 55.318903464494745]"
46,46,2019-01-04 23:53:52+00:00,"santander hires retail chief, trump v. powell, future housing finance top stories","[33.03167216541396, 31.148317295492735]"
47,47,2019-01-04 23:42:37+00:00,recorriendo santander,"[-1.163827870224604, -0.3743858461810367]"
48,48,2019-01-04 23:36:08+00:00,there’s still time get the santander arena start weekend some readingroyals hockey,"[17.975746919523882, 9.080504485205216]"
49,49,2019-01-04 23:32:31+00:00,santanderukhelp help. the santander app hasn’t working a week now. others i know the issue slow loading. is a fix?,"[14.381736213791857, 31.279969105446245]"
50,50,2019-01-04 23:28:11+00:00,"ea gzaro why much priority premier? is santander league is leonel messi the series is cristiano ronaldo, the sbc the santander league? june? when nobody plays?.","[47.10904028556431, 23.589209120389274]"
51,51,2019-01-04 23:28:05+00:00,"ea gzaro why much priority premier? is santander league is leonel messi the series is cristiano ronaldo, the sbc the santander league? june? when nobody plays?","[47.10904028556431, 23.589209120389274]"
52,52,2019-01-04 23:27:44+00:00,"eacoreysa why much priority premier? is santander league is leonel messi the series is cristiano ronaldo, the sbc the santander league? june? when nobody plays?.","[35.22674677598308, 21.764710973682927]"
53,53,2019-01-04 23:27:34+00:00,"eacoreysa why much priority premier? is santander league is leonel messi the series is cristiano ronaldo, the sbc the santander league? june? when nobody plays?","[35.22674677598308, 21.764710973682927]"
54,54,2019-01-04 23:25:41+00:00,colmtobin santander? you must getting ferry cork,"[21.166534358823288, 22.07686107268705]"
55,55,2019-01-05 23:37:28+00:00,tellerapi hi. i trying connect santander account teller account just get internal server error i enter my mobile banking id hit next. a problem their end?,"[138.49522361521, 68.5466356773486]"
56,56,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.93762458446804, 55.318903464494745]"
57,57,2019-01-05 23:11:11+00:00,"mariasrodriguez tona, santander","[-1.163827870224604, -0.3743858461810367]"
