,Time,Text,Sentiment
0,2018-12-31 23:59:56+00:00,dang amazon. i talking customer service the phone they transfer to somewhere else. i waited minutes just hanging up. they proceeded to call back separate times i picked up sat hold again.,"[66.97592609158492, 71.83459462136356, 5.009940920486301]"
2,2018-12-31 23:59:53+00:00,chacousa amazonpay i ordered pair chaco’s sunday paid via amazon pay never got a confirmation shipment email idk to get information my order,"[65.3480030078838, 40.37738505535857, -8.38073470100575]"
3,2018-12-31 23:59:43+00:00,check loiygit amazon music,"[8.873573528973495, 6.795776260509992, -11.449183901770198]"
4,2018-12-31 23:59:41+00:00,head banging doll [clean] kakicchysmusic mp downloads amazon prime,"[33.08781006722295, 15.435225146842129, 11.62099548548915]"
5,2018-12-31 23:59:35+00:00,kris sacrebleu i out luck. i wanted see roman j israel esq movie denzel you either subscribe to starz amazon. if i wait years i catch for free somewhere,"[39.95563361706245, 24.13299217767714, 13.610773685350367]"
6,2018-12-31 23:59:32+00:00,"elon musk, amazon bezos fed powell land blunders bright spot list foxbusiness","[30.29976812793721, 30.25441781702262, -0.7085948963359385]"
7,2018-12-31 23:59:28+00:00,chipsandgist disney. apple. amazon. might be same it opens new lane. but definitely disney. these three the ones the deep pockets the will.,"[38.18520117219905, 29.178687668139162, -8.692139723619604]"
8,2018-12-31 23:59:25+00:00,i want give shoutout rippinhv real quick. this dude given mad amazon gift cards it’s absolutely incredible. go show some love. thanks what do man. much love.,"[43.50934635717348, 47.30252277907623, -2.8625911764227823]"
9,2018-12-31 23:59:21+00:00,amount books i buy makes amazon suggestions embarrassing,"[20.0511678804784, 23.10522182456303, -0.45915967815743386]"
10,2018-12-31 23:59:14+00:00,amazon gift card giveaway ............ends in hours..............,"[19.465446886792, 19.98919110776738, -10.960877885489886]"
11,2019-01-01 23:59:54+00:00,how train amazon’s alexa recognize different peoples’ voices your household voicesearch,"[25.824289998295193, -3.393862700085713, -10.645835356633754]"
13,2019-01-01 23:59:54+00:00,dantwitwit freetotweet torontostar ddale collect share million trudeau plans give msm. fire daniel dale. put out it misery. sell buildings amazon. offer daniel dale job taping boxes. watch the share price go up. there a reason it lost it value years.,"[97.8097246096391, 105.56702201940892, -5.9932074768765204]"
14,2019-01-01 23:59:53+00:00,"cosmic carol well done have read amazon got contact chile, analyse data telescopes.","[41.73129325240489, 30.821970932232297, -10.080308178416828]"
15,2019-01-01 23:59:52+00:00,fat sushi roll amazonhelp newegg yikes. amazon a joke.,"[50.74213731507144, 31.57358307433904, -10.536866546341756]"
16,2019-01-01 23:59:47+00:00,has anyone used brand? with i need make real small servings freeze and look like just what i need. amazon,"[24.656453288905727, 7.88004292688133, -9.99516670790318]"
17,2019-01-01 23:59:45+00:00,amazon wanted make sure is scam,"[9.800027355641014, -1.2166680210187484, -11.551108957573305]"
18,2019-01-01 23:59:41+00:00,kanyewest learn self reliant none stuff phase you. read this bestselling book to learn “the devil a lie the seven keys success.” available amazon. you’ll thank later.,"[81.27950802284543, 57.002194992647574, -9.850269730352537]"
19,2019-01-01 23:59:40+00:00,in evening kakicchysmusic mp downloads amazon prime,"[21.606753558887835, 9.975802642792814, -11.193984464051404]"
20,2019-01-01 23:59:36+00:00,"tinywaifu take first test without textbook, don’t well can rent off amazon. or you someone else your class cant pitch to rent at beginning the year and share it.","[32.979140579602976, 37.562483441513294, -7.683508320375793]"
21,2019-01-01 23:59:35+00:00,"in one chart how one investor’s amazon misfire led a loss his trading account december , wallst","[49.08195286291654, 12.253104717842021, -12.002363111466849]"
