,Time,Text,Sentiment
0,2018-12-31 23:59:50+00:00,google to turn fireworks,"[-4.472025548888285, -3.296564491114108, -10.832652833860795]"
2,2018-12-31 23:59:48+00:00,ryceone / hi drew. our engineers provided us info the wemo now working fine google home.,"[11.88447488579654, 12.046187391384422, -9.873159146965449]"
3,2018-12-31 23:59:45+00:00,waiting perfect never smart making progress. marketing seo google digitalmarketing marketingtips marketingonline,"[19.87968512197863, 26.64961131724216, -11.90763143830847]"
4,2018-12-31 23:59:45+00:00,i figured i got called for trespassing i could show google id all would good. after research i t think would flown i still think s strange google an office there. no idea why.,"[43.80442077345656, 29.8794117445823, -9.098182999924134]"
5,2018-12-31 23:59:43+00:00,queer queenie had google but sounds pretty good,"[13.819516738226188, -5.260149110509502, -1.4704762850510207]"
6,2018-12-31 23:59:30+00:00,eddybsb sengert joke ericsabels google ook met ?,"[-2.3035444114108854, -3.340731940258991, -11.188838498945287]"
7,2018-12-31 23:59:26+00:00,"if looking the next big thing, re looking everyone else is, you re looking the wrong place. marketing seo google digitalmarketing marketingtips marketingonline","[19.775345078275212, 44.818225786313334, -10.220880138081341]"
8,2018-12-31 23:59:25+00:00,"csloball maddezmom garyhassay tedlieu realdonaldtrump no need feel sorry me. if really feel something wrong, might try praying, maybe god show what doing. google kim clemment, feb. . . there s also in . also, mark taylor. but dark t like light. no need go with this.","[29.829289134903366, 34.91982950320384, -10.963582182052491]"
9,2018-12-31 23:59:23+00:00,"the final december comic strip , it’s fine example a billy debeck barney google","[23.5402012168791, 39.29029552634313, 0.7018115435548395]"
10,2018-12-31 23:59:22+00:00,"naïveté lack sound wisdom, judgement. that’s easy google definition ya.","[11.054122973206614, 22.370081520152745, 0.12215916756087353]"
11,2019-01-01 23:59:59+00:00,translate “wifey” chinese google translate. thank later.,"[21.948894747116345, 14.941300971935547, -11.95635471607416]"
13,2019-01-01 23:59:59+00:00,is point living information age amazing technology whatnot i cant easily google i add my soup curb the aftertaste the asparagus,"[50.81890948796285, 48.370975785449346, -10.497897071830195]"
14,2019-01-01 23:59:58+00:00,"app downloads across ios &amp; ; google play to b , consumer spend tops b via techcrunch","[15.455783267351425, 24.67556166705762, -9.24601743984988]"
15,2019-01-01 23:59:57+00:00,uravgconsumer oh dayymm can suggest do video best smart products use the google home hub??,"[-2.3464932807746193, 11.199929638762953, -11.619716754558866]"
16,2019-01-01 23:59:54+00:00,after seeing totw get leaked google ffs,"[20.487041797587427, 19.27101097632169, -10.04144591966827]"
17,2019-01-01 23:59:50+00:00,ok google,"[-1.9572380220852346, -3.657741059407272, -11.047140858172323]"
18,2019-01-01 23:59:49+00:00,b outliers i got google that.,"[-2.1548753698488126, -3.3195559677248814, -11.05187807395675]"
19,2019-01-01 23:59:48+00:00,google old how many days is mom birthday. i a little freaked because i t that my calendar. is reading my texts last year birthday?,"[34.79717246319924, 17.966215156066127, 1.6464985429440873]"
20,2019-01-01 23:59:42+00:00,exioce brandtanderson google cdbrose anduriltech many things covered this article happened decade ago very different corporate governance. my personal belief that the founders google a lot patriotic the current machine. pulling of maven jedi a bad appeasement strategy.,"[53.16776869684215, 26.737104638221595, -10.289106692321084]"
21,2019-01-01 23:59:30+00:00,cover | nfl draft be found on google play link,"[4.835666976779142, -4.379427991369781, -10.550973109843127]"
22,2019-01-02 23:59:55+00:00,"if ever need good laugh... google image search “giraffes drinking water”, you’re welcome.","[19.664170821653077, 24.213412623890747, -1.2749034608550005]"
24,2019-01-02 23:59:53+00:00,"i get asked the time to write book [seeing we created a dozen best selling authors far] here what i tell you t write you speak x faster you type, dictate using google docs.","[45.577616321870316, 49.84472231421607, -8.114538536957056]"
25,2019-01-02 23:59:52+00:00,"check my new album ""beginners luck"" distributed distrokid live google play","[-5.547451093430541, 0.587232349603624, -9.944295909141807]"
26,2019-01-02 23:59:45+00:00,yeah yeah i’ll fold laundry i read blossom dearie wikipedia entry. what? her ashes interred falls church?? i’ll fold laundry i google map blossom dearie’s ashes. brb.,"[65.79172644558493, 93.88376408014334, 16.200779776301417]"
27,2019-01-02 23:59:42+00:00,"sweetie cyanide google form sounds like good idea then need information, you have contact info? when do get inquiry, i message back get information send invoice they want go ahead, too many people ghost me","[22.055888284310374, 20.355481914392456, -11.123565800426846]"
28,2019-01-02 23:59:42+00:00,google search starting farm ontario,"[17.582997233535778, 6.769246146670682, -10.440053046718035]"
29,2019-01-02 23:59:37+00:00,korayn my brother law brother a programmer google starting june. which location he going be working at?,"[28.67383386075422, 47.716975424425, -9.248259756820161]"
30,2019-01-02 23:59:34+00:00,racistmascot supersloth maybe a google doc divided location? i dumb.,"[9.020849265084198, 8.081326541510855, 1.1789532260516182]"
31,2019-01-02 23:59:33+00:00,kasstorralba google,"[-1.5928022067237049, -2.771852680319704, -11.242369306015393]"
32,2019-01-02 23:59:19+00:00,complexshadow google sorting out i see,"[8.261586382285817, 7.475912207967593, -10.490541391314963]"
33,2019-01-03 23:59:57+00:00,vault | sep insite search within google serp q&amp;a dsqlive seo,"[29.037985519969073, 29.262773344499614, -10.148511114808748]"
35,2019-01-03 23:59:53+00:00,"cleaned camera roll, do every year, back all my photos to google photos then delete everything that year except concert videos they remain forever my phone","[6.300342581527009, 32.78487779364248, -8.157707140014836]"
36,2019-01-03 23:59:47+00:00,giuliapickcius google burro,"[-1.5928022067237049, -2.771852680319704, -11.242369306015393]"
37,2019-01-03 23:59:39+00:00,shit i think i might missed job opportunity i google number i t realized rung until today its a job i applied i t answer i t know number. ffs,"[83.81820372799889, 40.859717286002265, 3.4206547157327094]"
38,2019-01-03 23:59:34+00:00,summertime jernimolpez texastribune cnn nyc population well nassau westchester going the roof. most economically growing part the country. amazon google happy come here.,"[41.38853297207854, 25.831654787613175, -11.666342908733597]"
39,2019-01-03 23:59:33+00:00,aka deezy people work the govt don’t get paid their work this time that’s i know lol you want consult google,"[12.378362254145987, 4.520586251400758, -8.731057037127272]"
40,2019-01-03 23:59:32+00:00,renytay tiersaj there a new studies verbal abuse. a quick google search yield feedback. it not really wheelhouse i seen stuff circulating.,"[18.85808550353683, 28.046183484333767, 1.9140688804107242]"
