,Time,Text,Sentiment
0,2018-12-31 23:52:33+00:00,kayleighmcenany realdonaldtrump thestoryfnc foxnews elizabeth warren right the middle a malasian scandal involving goldman sachs malasian govt. wait this get blurted all social media.,"[62.07829460581589, 52.183545810958236, -9.10584934496481]"
2,2018-12-31 23:51:24+00:00,really russia enemy the west us ?...think twice; goldman sachs jp morgan the largest investment banks the country. russia central bank works closely the imf the bis bank international settlements .,"[98.73702367746567, 85.94199425258161, -7.794402548672949]"
3,2018-12-31 23:24:51+00:00,goldmansachs peterchernin such balls sachs,"[-0.4167929811380866, -1.1728344096192704, -11.763818536142463]"
4,2018-12-31 23:22:12+00:00,"frank bitchylaughter johncarltonking tomcarmodycs cptjinglepants omolochris cindipargressiv grimeandreason mummu nofascistlies mymeows ms msmarshas waldene sallyalbright bottlesofpolish richmondrquette voterengaged leon rafitaaa gop thedemocrats the goldman sachs transcripts, perhaps?","[29.43412952198288, 19.96381105124673, -10.412258759386894]"
5,2018-12-31 23:21:37+00:00,the malaysia scandal is starting look dire goldman sachs,"[-2.617523739786331, -2.4904294150813873, -11.074100470115738]"
6,2018-12-31 23:18:07+00:00,kushner didn’t disclose ties soros thiel goldmansachs that owes billion loans ... ht tiffanylive,"[21.631989298968957, 31.560428462018322, -10.863566607378445]"
7,2018-12-31 23:14:21+00:00,what would make space industry advance faster? aerospace bankofamerica financingforthespaceindustry goldmansachs institutionalinvestmentcommunity morganstanley officeofspacecommerce publiclytradedspacecompanies satellitefleets,"[9.49389180300044, 18.74038969726442, -10.704080877580985]"
8,2018-12-31 23:07:13+00:00,"we wanted woman president, not one was cozy goldman sachs. a massive smear campaign leftists followed the switch sanders. many the left still prefer sanders good reasons. but be good reset a lot bs narratives.","[30.863720315864942, 71.71834655218872, -0.5678978759899991]"
9,2018-12-31 23:07:04+00:00,"the biggest movers include goldman sachs, merck amd","[9.453085472215763, 8.671726235750288, -11.248933013413016]"
10,2018-12-31 22:57:38+00:00,goldmansachs how that little issue mdb going?,"[6.618211867421711, 9.261878232582383, -11.231275426830862]"
11,2019-01-01 23:59:49+00:00,eventbinance binance goldmansachs etoro twittersupport twitter twitterau i still getting unwanted annoying promoted ads like one if staff follow promoted ads policy is supposed be sent tailored users?,"[23.269178295797804, 29.99363969892204, -10.766280308653066]"
13,2019-01-01 23:59:45+00:00,realdonaldtrump low oil prices ultimately drag the economy not necessarily net benefit. surely someone goldman sachs explain to you?,"[66.84447959527793, 40.447569798283965, 2.7679903687114376]"
14,2019-01-01 23:57:18+00:00,eventbinance binance goldmansachs etoro why you continue send unwanted annoying boring promoted ads you refuse answer tweets?,"[35.263352516082456, 33.357306531478166, -13.291734299221645]"
15,2019-01-01 23:55:15+00:00,realdonaldtrump what tax cut billion dollar year tax cut you the gop gave goldman sachs,"[41.07306277999855, 21.89698686838358, -10.799660469844852]"
16,2019-01-01 23:51:36+00:00,"once again, black women the wealth management industry available insights. way not keep inclusive goldmansachs","[36.99310673351261, 21.947391728900428, 2.163341192915638]"
