,date,tweet,topic,sentiment
0,2019-01-01,how many overseas branches china construction bank have? wheels coming china belt road megaproject?,1.0,"[1.2911412745214002, 0.9226658747765083, 0.03633405541566022]"
1,2019-01-02,"bank china, china construction bank get wealth management units shake of us . trillion industry",8.0,"[6.297468564072824, 6.539365368058321, -0.7715972673702489]"
2,2019-01-02,china construction bank bullish uk opportunities,8.0,"[6.297468564072824, 6.539365368058321, -0.7715972673702489]"
3,2019-01-03,"retailbanking, consumerbanking market bnp paribas, citigroup, hsbc, icbc, jpmorgan chase, bank america, barclays, china construction bank, deutsche bank, wells fargo, mitsubishi ufj financial group via openpr",8.0,"[6.297468564072824, 6.539365368058321, -0.7715972673702489]"
4,2019-01-03,"retailbanking, consumerbanking market bnp paribas, citigroup, hsbc, icbc, jpmorgan chase, bank america, barclays, china construction bank, deutsche bank, wells fargo, mitsubishi ufj financial group via openpr",8.0,"[6.297468564072824, 6.539365368058321, -0.7715972673702489]"
5,2019-01-03,"if s one country knows effectively use soes is china. • soes china railway corp funded state banks china construction bank • state banks offer lower interest rates commercial banks &amp; funding, thanks to their reserve bank.",8.0,"[6.297468564072824, 6.539365368058321, -0.7715972673702489]"
6,2019-01-03,why buy china realestate the chairman state bank chinaconstructionbank advises warns it? —&gt;,8.0,"[6.297468564072824, 6.539365368058321, -0.7715972673702489]"
7,2019-01-04,"retailbanking market bnp paribas, citigroup, hsbc, icbc, jpmorgan chase, bank america, barclays, china construction bank, deutsche bank, wells fargo, mitsubishi ufj financial group via openpr",13.0,"[4.5499716824393515, 5.3773904309859635, -0.6009270237002832]"
8,2019-01-04,"china further cut taxes fees to support small private companies, said premier li keqiang friday visiting bank china, industrial commercial bank china china construction bank.",13.0,"[4.5499716824393515, 5.3773904309859635, -0.6009270237002832]"
9,2019-01-04,"marketplace i wanted short bank china china construction bank, would i that?",13.0,"[4.5499716824393515, 5.3773904309859635, -0.6009270237002832]"
10,2019-01-04,"retailbanking market bnp paribas, citigroup, hsbc, icbc, jpmorgan chase, bank america, barclays, china construction bank, deutsche bank, wells fargo, mitsubishi ufj financial group via openpr",13.0,"[4.5499716824393515, 5.3773904309859635, -0.6009270237002832]"
11,2019-01-05,china banking association develops blockchain platform for trade finance blockchain letterofcredit industrialandcommercialbankofchina agriculturalbankofchina chinaconstructionbank bitsmart,21.0,"[0.6120163489506636, 0.7736051823992851, -0.1745499039982133]"
