,Time,Text
0,2018-12-31 23:52:33+00:00,kayleighmcenany realdonaldtrump thestoryfnc foxnews elizabeth warren right the middle a malasian scandal involving goldman sachs malasian govt. wait this get blurted all social media.
1,2020-09-03 18:26:48+00:00,"lenovo legion x playapex now your chance rise the rest. unmatched performance, purposeful engineering, modern design. gear with machine savage you are. stylish outside. savage inside."
2,2018-12-31 23:51:24+00:00,really russia enemy the west us ?...think twice; goldman sachs jp morgan the largest investment banks the country. russia central bank works closely the imf the bis bank international settlements .
3,2018-12-31 23:24:51+00:00,goldmansachs peterchernin such balls sachs
4,2018-12-31 23:22:12+00:00,"frank bitchylaughter johncarltonking tomcarmodycs cptjinglepants omolochris cindipargressiv grimeandreason mummu nofascistlies mymeows ms msmarshas waldene sallyalbright bottlesofpolish richmondrquette voterengaged leon rafitaaa gop thedemocrats the goldman sachs transcripts, perhaps?"
5,2018-12-31 23:21:37+00:00,the malaysia scandal is starting look dire goldman sachs
6,2018-12-31 23:18:07+00:00,kushner didn’t disclose ties soros thiel goldmansachs that owes billion loans ... ht tiffanylive
7,2018-12-31 23:14:21+00:00,what would make space industry advance faster? aerospace bankofamerica financingforthespaceindustry goldmansachs institutionalinvestmentcommunity morganstanley officeofspacecommerce publiclytradedspacecompanies satellitefleets
8,2018-12-31 23:07:13+00:00,"we wanted woman president, not one was cozy goldman sachs. a massive smear campaign leftists followed the switch sanders. many the left still prefer sanders good reasons. but be good reset a lot bs narratives."
9,2018-12-31 23:07:04+00:00,"the biggest movers include goldman sachs, merck amd"
10,2018-12-31 22:57:38+00:00,goldmansachs how that little issue mdb going?
11,2019-01-01 23:59:49+00:00,eventbinance binance goldmansachs etoro twittersupport twitter twitterau i still getting unwanted annoying promoted ads like one if staff follow promoted ads policy is supposed be sent tailored users?
12,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.
13,2019-01-01 23:59:45+00:00,realdonaldtrump low oil prices ultimately drag the economy not necessarily net benefit. surely someone goldman sachs explain to you?
14,2019-01-01 23:57:18+00:00,eventbinance binance goldmansachs etoro why you continue send unwanted annoying boring promoted ads you refuse answer tweets?
15,2019-01-01 23:55:15+00:00,realdonaldtrump what tax cut billion dollar year tax cut you the gop gave goldman sachs
16,2019-01-01 23:51:36+00:00,"once again, black women the wealth management industry available insights. way not keep inclusive goldmansachs"
17,2019-01-01 23:35:30+00:00,justinyantis ashleyfeinberg also it’s fact obama got cabinet the suggestion goldman sachs. does seem like uncorrupted behavior?
18,2019-01-01 23:33:42+00:00,the malaysia scandal is starting look dire goldman sachs – rolling stone via shareaholic
19,2019-01-01 23:32:23+00:00,mzjacobson dan kammen about discussing openly the biggest shareholder/investors us fossil fuels including warren buffett billgates mtbarra ford goldmansachs fidelity vanguard group chevron shell exxonmobil
20,2019-01-01 23:27:18+00:00,justinyantis ashleyfeinberg well a candidate voted republicans than dems less safe seats kinda shows. plus loves wall street i don’t want another president call goldman sachs ask cabinet suggestions like obama did.
21,2019-01-01 23:21:13+00:00,the mdb malaysia scandal is starting look dire goldman sachs. a pioneering twist third world corruption might the biggest scandal th...
22,2019-01-02 23:58:29+00:00,dow jones stock list goldman sachs leads worst of data center
23,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.
24,2019-01-02 23:58:05+00:00,"gsk news goldman sachs group analysts give glaxosmithkline gsk gbx , price target"
25,2019-01-02 23:54:02+00:00,"mikel jollett jeez, y’all, us didn’t like hillary she seemed be wedded goldman sachs is daughter, literally . i still voted her general, mind you. if liz maintain the kickass standard of this opening salvo, i all"
26,2019-01-02 23:53:50+00:00,revisiting themes in goldman sachs’ crossword style hedge wallst
27,2019-01-02 23:36:04+00:00,malaysia files criminal charges goldman sachs mdb probe hedge businessnews energy
28,2019-01-02 23:35:11+00:00,goldmansachs farfetch malaysia thieves
29,2019-01-02 23:31:25+00:00,"pioneer natural resources present goldman sachs global energy conference commodities january ,"
30,2019-01-02 23:30:17+00:00,galaxy digital stock soars bitcoin bull mike novogratz increases stake galaxydigital bitcoin merchantbank hedgefund goldmansachs bitsmart
